row_label_raw,row_label_full,col_0,Số cuối nămNợ gốc,VNDSố đầu nămNợ gốc,numeric__Số cuối nămNợ gốc,numeric__VNDSố đầu nămNợ gốc
"Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương",123.292.700.000,124.292.700.000,123292700000.0,124292700000.0
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",7.200.000.000,10.500.000.000,7200000000.0,10500000000.0
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",7.375.455.322,8.675.455.322,7375455322.0,8675455322.0
"Việt Á, CN Bình Dương","Việt Á, CN Bình Dương","Việt Á, CN Bình Dương",-,149.310.079.209,,149310079209.0
"Việt Á, CN BMT","Việt Á, CN BMT","Việt Á, CN BMT",-,103.280.240.824,,103280240824.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,137.868.155.322,396.058.475.355,137868155322.0,396058475355.0
