row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưLãi từ miễn một phần gốc vayChi phí lãi vay,"Thuyết minh > 13, 1427",Năm nay > (804.700.213.026)42.268.781.812479.807.809.146(842.025.900)5.082.208.716(137.146.232.869)85.462.172.900,Năm trước > 2.469.733.56944.533.438.85313.205.471.798502.372.080(2.596.023.629)-129.952.729.394,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHTổng (lỗ) lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòng(Lãi) lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưLãi từ miễn một phần gốc vayChi phí lãi vay,"numeric__Thuyết minh > 13, 1427",numeric__Năm nay > (804.700.213.026)42.268.781.812479.807.809.146(842.025.900)5.082.208.716(137.146.232.869)85.462.172.900,numeric__Năm trước > 2.469.733.56944.533.438.85313.205.471.798502.372.080(2.596.023.629)-129.952.729.394
08,08,08,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
09,09,09,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
10,10,10,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
11,11,11,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
12,12,12,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
14,14,14,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
15,15,15,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
16,16,16,(Lỗ) lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu độngGiảm (tăng) các khoản phải thuGiảm hàng tồn kho(Giảm) tăng các khoản phải trảGiảm chi phí trả trướcTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộpTiền thu khác từ hoạt động kinh doanh,,(330.067.499.221)284.057.026.620296.752.435.132(211.525.655.436)7.812.757.803(17.281.467.167)(394.048.867)-,188.067.722.065(673.022.395.766)159.516.907.096475.788.879.34010.853.690.147(58.662.459.407)(106.421.786)55.350.000,,,,
20,20,20,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
21,21,21,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
22,22,22,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
23,23,23,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
24,24,24,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
25,25,25,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
26,26,26,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
27,27,27,"Lưu chuyển tiền thuần từ hoạt động kinh doanhII. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm và xây dựng tài sản cố định (""TSCĐ"")Tiền thu do thanh lý TSCĐTiền chi cho vay và tiền gửi kỳ hạnTiền thu hồi cho vay và tiền gửi kỳ hạnTiền chi đầu tư góp vốnvào đơn vị khácTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi tiền gửi và lãi cho vay",,29.353.548.864(16.868.662.094)2.783.281.115(130.284.622.309)110.594.591.252(200.000.000)87.730.000.00010.018.235.686,102.491.271.689(22.337.692.920)1.374.500.875(197.648.554.812)3.601.440.784-10.966.538.0213.055.790.541,,,,
30,27 > 30,30,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động đầu tư,,63.772.823.650,(200.987.977.511),,,63772823650.0,-200987977511.0
