row_label_raw,row_label_full,col_0,Quyền sử dụngđất lâu dài,Quyền sử dụngđất có thời hạn,Phần mềmmáy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụngđất lâu dài,numeric__Quyền sử dụngđất có thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,843.700.000,6.070.371.464,17.730.256.880,26.102.960.344,1458632000.0,843700000.0,6070371464.0,17730256880.0,26102960344.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,4.804.725.000,-,4.804.725.000,,,4804725000.0,,4804725000.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,-,(92.932.928),-,(92.932.928),,,-92932928.0,,-92932928.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,843.700.000,10.782.163.536,17.730.256.880,30.814.752.416,1458632000.0,843700000.0,10782163536.0,17730256880.0,30814752416.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,-,788.974.431,-,788.974.431,,,788974431.0,,788974431.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(530.950.000),(3.078.324.112),(8.963.802.301),(12.573.076.413),,-530950000.0,-3078324112.0,-8963802301.0,-12573076413.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(22.500.000),(627.036.750),(875.000.004),(1.524.536.754),,-22500000.0,-627036750.0,-875000004.0,-1524536754.0
Xóa số,Giá trị hao mòn lũy kế: > Xóa số,Xóa số,-,-,92.932.928,-,92.932.928,,,92932928.0,,92932928.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(553.450.000),(3.612.427.934),(9.838.802.305),(14.004.680.239),,-553450000.0,-3612427934.0,-9838802305.0,-14004680239.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,312.750.000,2.992.047.352,8.766.454.579,13.529.883.931,1458632000.0,312750000.0,2992047352.0,8766454579.0,13529883931.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,290.250.000,7.169.735.602,7.891.454.575,16.810.072.177,1458632000.0,290250000.0,7169735602.0,7891454575.0,16810072177.0
