row_label_raw,row_label_full,col_0,Chế biến gỗ,Trồng rừng,Loại trừ,VND Tổng cộng,numeric__Chế biến gỗ,numeric__Trồng rừng,numeric__Loại trừ,numeric__VND Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.323.869.811.271,39.529.116.830,-,1.363.398.928.101,1323869811271.0,39529116830.0,,1363398928101.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,114.500.000,(114.500.000),-,,114500000.0,-114500000.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.323.869.811.271,39.643.616.830,(114.500.000),1.363.398.928.101,1323869811271.0,39643616830.0,-114500000.0,1363398928101.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận từ hoạt động kinh doanh của bộ phận,Kết quả > Lợi nhuận từ hoạt động kinh doanh của bộ phận,Lợi nhuận từ hoạt động kinh doanh của bộ phận,130.368.579.692,13.456.814.792,-,143.825.394.484,130368579692.0,13456814792.0,,143825394484.0
Doanh thu hoạt động tài chính,Kết quả > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,6.497.443.408,,,,6497443408.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,,(134.374.765.557),,,,-134374765557.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,,9.064.424.862,,,,9064424862.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,,(23.619.992.740),,,,-23619992740.0
Phần lãi trong công ty liên kết,Kết quả > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,1.077.229.112,,,,1077229112.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(125.438.084),,,,-125438084.0
Lợi nhuận sau thuế,Kết quả > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,2.344.295.485,,,,2344295485.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,3.748.692.103.996,417.793.126.341,-,4.166.485.230.337,3748692103996.0,417793126341.0,,4166485230337.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,4.166.485.230.337,,,,4166485230337.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.278.435.683.430,60.006.300.681,-,3.338.441.984.111,3278435683430.0,60006300681.0,,3338441984111.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,3.338.441.984.111,,,,3338441984111.0
