row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập từ nợ gốc được xóa (i),Thu nhập khác > Thu nhập từ nợ gốc được xóa (i),Thu nhập từ nợ gốc được xóa (i),137.146.232.869,-,137146232869.0,
Lãi phân bổ từ góp vốn vào công ty liên doanh bằng tài sản cố định,Thu nhập khác > Lãi phân bổ từ góp vốn vào công ty liên doanh bằng tài sản cố định,Lãi phân bổ từ góp vốn vào công ty liên doanh bằng tài sản cố định,1.826.261.412,1.826.261.412,1826261412.0,1826261412.0
Thanh lý tài sản,Thu nhập khác > Thanh lý tài sản,Thanh lý tài sản,1.000.011.661,1.212.727.273,1000011661.0,1212727273.0
Khác,Thu nhập khác > Khác,Khác,16.675.604.369,6.025.436.177,16675604369.0,6025436177.0
,,,156.648.110.311,9.064.424.862,156648110311.0,9064424862.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Xóa số tài sản cố định,Chi phí khác > Xóa số tài sản cố định,Xóa số tài sản cố định,(2.662.555.814),(2.270.843.667),-2662555814.0,-2270843667.0
Chi phí phạt,Chi phí khác > Chi phí phạt,Chi phí phạt,(4.575.558.143),(14.964.084.988),-4575558143.0,-14964084988.0
Thanh lý tài sản,Chi phí khác > Thanh lý tài sản,Thanh lý tài sản,-,(697.136.620),,-697136620.0
Khác,Chi phí khác > Khác,Khác,(3.933.827.921),(5.687.927.465),-3933827921.0,-5687927465.0
,,,(11.171.941.878),(23.619.992.740),-11171941878.0,-23619992740.0
LỢI NHUẬN (LỔ) KHÁC,Chi phí khác > LỢI NHUẬN (LỔ) KHÁC,LỢI NHUẬN (LỔ) KHÁC,145.476.168.433,(14.555.567.878),145476168433.0,-14555567878.0
