row_label_raw,row_label_full,Ngân hàng,Số cuối nămVND,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,numeric__Số cuối nămVND,numeric__Kỳ hạn trả gốc và lãi,numeric__Lãi suất%/năm,numeric__Hình thức đảm bảo
"Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương","Đông Á, CN Bình Dương",,,,
Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,"Đông Á, CN Bình Dương > Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015",Hợp đồng số H0367/1N ngày 25 tháng 6 năm 2015,123.292.700.000,Từ ngày 27 tháng 7 năm 2016đến ngày 23 tháng 9 năm 2016,"8,5",\( 12.859 \text{ m}^{3} \text{gỗ nguyên liệu các loại và thành phẩm của Nhóm Công ty} \),123292700000.0,,8.5,
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",,,,
Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,"Agribank, CN BMT > Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011",Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,7.200.000.000,Từ ngày 17 tháng 7 năm 2016đến ngày 31 tháng 12 năm 2016,"10,5","Gỗ nguyên liệu các loại của Công tyCổ phần Trường Thành, công ty con của Nhóm Công ty",7200000000.0,,10.5,
"VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông","VDB, CN Đắk Lắk – Đắk Nông",,,,
Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010",Hợp đồng số 102/2010/HĐTDXK-NHPTPC ngày 28 tháng 12 năm 2010,2.474.680.000,Từ ngày 2 tháng 11 năm 2011đến ngày 25 tháng 11 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",2474680000.0,,11.0,
Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011",Hợp đồng số 03/2011/HĐTDXK-NHPTPC ngày 4 tháng 4 năm 2011,3.000.000.000,Từ ngày 30 tháng 11 năm 2011đến ngày 21 tháng 12 năm 2011,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",3000000000.0,,11.0,
Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011,"VDB, CN Đắk Lắk – Đắk Nông > Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011",Hợp đồng số 12/2011/HĐTDXK-NHPT-ĐL-ĐN ngày 24 tháng 8 năm 2011,1.900.775.322,Ngày 27 tháng 3 năm 2012,11,"Hàng tồn kho, máy móc và thiết bị của Công ty Cổ phần Chế biến Gỗ Trường Thành, công ty con của Nhóm Công ty",1900775322.0,,11.0,
Tổng cộng VDB,"VDB, CN Đắk Lắk – Đắk Nông > Tổng cộng VDB",Tổng cộng VDB,7.375.455.322,,,,7375455322.0,,,
TỔNG CỘNG,"VDB, CN Đắk Lắk – Đắk Nông > TỔNG CỘNG",TỔNG CỘNG,137.868.155.322,,,,137868155322.0,,,
