row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,393.887.617.423,291.940.425.114,23.974.349.277,14.024.901.564,723.827.293.378,393887617423.0,291940425114.0,23974349277.0,14024901564.0,723827293378.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,Tăng trong năm,,,,,
Đầu tư xây dựng cơ bản hoàn thành,Tăng trong năm > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,70.754.000,32.214.538.884,-,-,32.285.292.884,70754000.0,32214538884.0,,,32285292884.0
Mua mới,Tăng trong năm > Mua mới,Mua mới,-,4.692.688.198,1.148.480.000,1.652.902.909,7.494.071.107,,4692688198.0,1148480000.0,1652902909.0,7494071107.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,Giảm trong năm,,,,,
Phân loại lại(Thuyết minh số 22),Giảm trong năm > Phân loại lại(Thuyết minh số 22),Phân loại lại(Thuyết minh số 22),(176.710.609.643),(25.318.993.535),(5.818.465.636),(10.896.198.080),(218.744.266.894),-176710609643.0,-25318993535.0,-5818465636.0,-10896198080.0,-218744266894.0
Thanh lý,Giảm trong năm > Thanh lý,Thanh lý,-,(1.678.832.346),(1.428.548.055),-,(3.107.380.401),,-1678832346.0,-1428548055.0,,-3107380401.0
Xóa số,Giảm trong năm > Xóa số,Xóa số,(98.008.902),(108.305.900),-,(525.192.797),(731.507.599),-98008902.0,-108305900.0,,-525192797.0,-731507599.0
Giải thể công ty con,Giảm trong năm > Giải thể công ty con,Giải thể công ty con,(1.310.728.097),(1.308.399.633),-,(78.241.783),(2.697.369.513),-1310728097.0,-1308399633.0,,-78241783.0,-2697369513.0
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,215.839.024.781,300.433.120.782,17.875.815.586,4.178.171.813,538.326.132.962,215839024781.0,300433120782.0,17875815586.0,4178171813.0,538326132962.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
