row_label_raw,row_label_full,col_0,OJI,Phú Hữu Gia,NLN Trường Thành,Bao bì,VND Tổng cộng,numeric__OJI,numeric__Phú Hữu Gia,numeric__NLN Trường Thành,numeric__Bao bì,numeric__VND Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,94.930.473.000,82.680.000.000,23.525.000.000,2.000.000.000,203.135.473.000,94930473000.0,82680000000.0,23525000000.0,2000000000.0,203135473000.0
Thanh lý,Giá trị đầu tư: > Thanh lý,Thanh lý,-,(82.680.000.000),(23.525.000.000),-,(106.205.000.000),,-82680000000.0,-23525000000.0,,-106205000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,94.930.473.000,-,-,2.000.000.000,96.930.473.000,94930473000.0,,,2000000000.0,96930473000.0
"Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết:",,,,,
Số đầu năm,"Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết: > Số đầu năm",Số đầu năm,(4.861.353.522),(3.826.060.584),(1.930.276.559),(1.457.792.043),(12.075.482.708),-4861353522.0,-3826060584.0,-1930276559.0,-1457792043.0,-12075482708.0
"Phần lợi nhuận (lỗ) từ công ty liên doanh, liên kết","Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết: > Phần lợi nhuận (lỗ) từ công ty liên doanh, liên kết","Phần lợi nhuận (lỗ) từ công ty liên doanh, liên kết",2.384.186.372,2.030.669.873,(1.414.203.187),(542.207.957),2.458.445.101,2384186372.0,2030669873.0,-1414203187.0,-542207957.0,2458445101.0
Thanh lý,"Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết: > Thanh lý",Thanh lý,-,1.795.390.711,3.344.479.746,-,5.139.870.457,,1795390711.0,3344479746.0,,5139870457.0
Số cuối năm,"Phần lũy kế lợi nhuận (lỗ) sau khi mua công ty liên doanh, liên kết: > Số cuối năm",Số cuối năm,(2.477.167.150),-,-,(2.000.000.000),(4.477.167.150),-2477167150.0,,,-2000000000.0,-4477167150.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,90.069.119.478,78.853.939.416,21.594.723.441,542.207.957,191.059.990.292,90069119478.0,78853939416.0,21594723441.0,542207957.0,191059990292.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,92.453.305.850,-,-,-,92.453.305.850,92453305850.0,,,,92453305850.0
