row_label_raw,row_label_full,col_0,Giá trị còn lại > Tỷ lệsở hữu%,Giá trị còn lại > Số cuối nămVND,Giá trị còn lại > Tỷ lệsở hữu%_1,Giá trị còn lại > Số đầu nămVND,numeric__Giá trị còn lại > Tỷ lệsở hữu%,numeric__Giá trị còn lại > Số cuối nămVND,numeric__Giá trị còn lại > Tỷ lệsở hữu%_1,numeric__Giá trị còn lại > Số đầu nămVND
"Công ty TNHH Trồng rừngTrường Thành OJI (""OJI"")","Công ty TNHH Trồng rừngTrường Thành OJI (""OJI"")","Công ty TNHH Trồng rừngTrường Thành OJI (""OJI"")","51,00",92.453.305.850,"51,00",90.069.119.478,51.0,92453305850.0,51.0,90069119478.0
"Công ty Cổ phần Phú Hữu Gia(""Phú Hữu Gia"") (*)","Công ty Cổ phần Phú Hữu Gia(""Phú Hữu Gia"") (*)","Công ty Cổ phần Phú Hữu Gia(""Phú Hữu Gia"") (*)",-,-,"41,97",78.853.939.416,,,41.97,78853939416.0
"Công ty Cổ phần Nông Lâmnghiệp Trường Thành(""NLN Trường Thành"") (**)","Công ty Cổ phần Nông Lâmnghiệp Trường Thành(""NLN Trường Thành"") (**)","Công ty Cổ phần Nông Lâmnghiệp Trường Thành(""NLN Trường Thành"") (**)",-,-,"26,59",21.594.723.441,,,26.59,21594723441.0
"Công ty Cổ phần Bao bì TrườngThành (""Bao bì"")","Công ty Cổ phần Bao bì TrườngThành (""Bao bì"")","Công ty Cổ phần Bao bì TrườngThành (""Bao bì"")","43,76",-,"43,76",542.207.957,43.76,,43.76,542207957.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,92.453.305.850,,191.059.990.292,,92453305850.0,,191059990292.0
