row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,17.617.660.996.679,15.812.270.787.140,,,17617660996679.0,15812270787140.0
02,02,02,Các khoản giảm trừ doanh thu,,7.260.744.042,6.460.136.357,,,7260744042.0,6460136357.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),25,17.610.400.252.637,15.805.810.650.783,,25.0,17610400252637.0,15805810650783.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,26,9.294.623.536.001,8.540.916.802.902,,26.0,9294623536001.0,8540916802902.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,8.315.776.716.636,7.264.893.847.881,,,8315776716636.0,7264893847881.0
21,21,21,Doanh thu hoạt động tài chính,27,659.223.846.745,848.908.837.498,,27.0,659223846745.0,848908837498.0
22,22,22,Chi phí tài chính,28,334.222.815.878,479.758.678.731,,28.0,334222815878.0,479758678731.0
23,23,23,- Trong đó: Chi phí lãi vay,,295.513.005.046,445.048.629.628,,,295513005046.0,445048629628.0
25,25,25,Chi phí bán hàng,29,2.856.882.910.299,2.329.670.928.548,,29.0,2856882910299.0,2329670928548.0
26,26,26,Chi phí quản lý doanh nghiệp,30,2.150.592.972.594,2.269.854.437.776,,30.0,2150592972594.0,2269854437776.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25 - 26),,3.633.301.864.610,3.034.518.640.324,,,3633301864610.0,3034518640324.0
31,31,31,Thu nhập khác,,23.752.043.108,44.808.552.151,,,23752043108.0,44808552151.0
32,32,32,Chi phí khác,,69.456.190.382,37.269.017.760,,,69456190382.0,37269017760.0
40,40,40,(Lỗ)/lợi nhuận khác (40 = 31 - 32),,(45.704.147.274),7.539.534.391,,,-45704147274.0,7539534391.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,3.587.597.717.336,3.042.058.174.715,,,3587597717336.0,3042058174715.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp (“TNDN”) hiện hành,31,726.110.309.518,629.086.803.768,,31.0,726110309518.0,629086803768.0
52,52,52,Chi phí/(thu nhập) thuế TNDN hoãn lại,31,401.303.857,(20.543.274.419),,31.0,401303857.0,-20543274419.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,2.861.086.103.961,2.433.514.645.366,,,2861086103961.0,2433514645366.0
,,,Phân bổ cho:,,,,,,,
61,61,61,Cổ đông của Công ty,,2.803.323.676.314,2.383.057.829.664,,,2803323676314.0,2383057829664.0
62,62,62,Cổ đông không kiểm soát,,57.762.427.647,50.456.815.702,,,57762427647.0,50456815702.0
70,70,70,Lãi cơ bản trên cổ phiếu,23(a),5.119,4.344,,,5119.0,4344.0
71,71,71,Lãi suy giảm trên cổ phiếu,23(b),5.119,4.344,,,5119.0,4344.0
