row_label_raw,row_label_full,Tai san thu$ TNDN hogan lai > S5 du dau nam > S5 du coul nam > Thu$ TNDN hogan lai phai tra > S5 du dau nam,31.12.2024 > 21.795.731.150 > 23.876.453.259 > 31.12.2024 > (937.899.583),31.12.2023 > 532.705.381 > 21.795.731.150 > 31.12.2023 > (218.148.233),numeric__31.12.2024 > 21.795.731.150 > 23.876.453.259 > 31.12.2024 > (937.899.583),numeric__31.12.2023 > 532.705.381 > 21.795.731.150 > 31.12.2023 > (218.148.233)
Ghi nhan vao bao cao két qua hoát dong,Ghi nhan vao bao cao két qua hoát dong,Ghi nhan vao bao cao két qua hoát dong,(2.482.025.966),(719.751.350),-2482025966.0,-719751350.0
Kinh doanh hópy nhat (Thuyet minh 31),Kinh doanh hópy nhat (Thuyet minh 31),Kinh doanh hópy nhat (Thuyet minh 31),(2.482.025.966),(719.751.350),-2482025966.0,-719751350.0
S5 du curi nam,S5 du curi nam,S5 du curi nam,(3.419.925.549),(937.899.583),-3419925549.0,-937899583.0
