row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Thiết bịquản lýVND,Phương tiệnvận tảiVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Thiết bịquản lýVND,numeric__Phương tiệnvận tảiVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1.1.2024,Nguyên giá > Tại ngày 1.1.2024,Tại ngày 1.1.2024,216.656.064.477,12.302.794.814.624,139.828.523.443,14.416.770.177,-,12.673.696.172.721,216656064477.0,12302794814624.0,139828523443.0,14416770177.0,,12673696172721.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.132.455.882,265.251.308.790,1.157.892.465,6.736.749.115,131.767.500,274.410.173.752,1132455882.0,265251308790.0,1157892465.0,6736749115.0,131767500.0,274410173752.0
Chuyển sang từ xây dựng cơbản dở dang (*),Nguyên giá > Chuyển sang từ xây dựng cơbản dở dang (*),Chuyển sang từ xây dựng cơbản dở dang (*),33.257.232.379,616.932.113.547,-,-,-,650.189.345.926,33257232379.0,616932113547.0,,,,650189345926.0
Phân loại lại (Thuyết minh 10(b)),Nguyên giá > Phân loại lại (Thuyết minh 10(b)),Phân loại lại (Thuyết minh 10(b)),-,1.866.518.502,(2.944.977.344),774.845.455,-,(303.613.387),,1866518502.0,-2944977344.0,774845455.0,,-303613387.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(225.719.592.599),(3.234.558.797),-,-,(228.954.151.396),,-225719592599.0,-3234558797.0,,,-228954151396.0
Tại ngày 31.12.2024,Nguyên giá > Tại ngày 31.12.2024,Tại ngày 31.12.2024,251.045.752.738,12.961.125.162.864,134.806.879.767,21.928.364.747,131.767.500,13.369.037.927.616,251045752738.0,12961125162864.0,134806879767.0,21928364747.0,131767500.0,13369037927616.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1.1.2024,Giá trị khấu hao lũy kế > Tại ngày 1.1.2024,Tại ngày 1.1.2024,(83.951.401.165),(6.994.308.465.727),(123.164.061.048),(8.199.414.401),-,(7.209.623.342.341),-83951401165.0,-6994308465727.0,-123164061048.0,-8199414401.0,,-7209623342341.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(9.094.654.722),(1.270.722.721.433),(5.794.503.569),(2.384.213.874),(19.873.131),(1.288.015.966.729),-9094654722.0,-1270722721433.0,-5794503569.0,-2384213874.0,-19873131.0,-1288015966729.0
Phân loại lại (Thuyết minh 10(b)),Giá trị khấu hao lũy kế > Phân loại lại (Thuyết minh 10(b)),Phân loại lại (Thuyết minh 10(b)),-,(1.384.220.248),2.461.551.179,(774.845.455),-,302.485.476,,-1384220248.0,2461551179.0,-774845455.0,,302485476.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,204.081.866.636,2.904.917.043,-,-,206.986.783.679,,204081866636.0,2904917043.0,,,206986783679.0
Tại ngày 31.12.2024,Giá trị khấu hao lũy kế > Tại ngày 31.12.2024,Tại ngày 31.12.2024,(93.046.055.887),(8.062.333.540.772),(123.592.096.395),(11.358.473.730),(19.873.131),(8.290.350.039.915),-93046055887.0,-8062333540772.0,-123592096395.0,-11358473730.0,-19873131.0,-8290350039915.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1.1.2024,Giá trị còn lại > Tại ngày 1.1.2024,Tại ngày 1.1.2024,132.704.663.312,5.308.486.348.897,16.664.462.395,6.217.355.776,-,5.464.072.830.380,132704663312.0,5308486348897.0,16664462395.0,6217355776.0,,5464072830380.0
Tại ngày 31.12.2024,Giá trị còn lại > Tại ngày 31.12.2024,Tại ngày 31.12.2024,157.999.696.851,4.898.791.622.092,11.214.783.372,10.569.891.017,111.894.369,5.078.687.887.701,157999696851.0,4898791622092.0,11214783372.0,10569891017.0,111894369.0,5078687887701.0
