row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVNDĐã điều chỉnh lại,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVNDĐã điều chỉnh lại,numeric__Công nghiệpdệt mayVNDĐã điều chỉnh lại,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVNDĐã điều chỉnh lại
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,,,,,
Tải sản của bộ phận,Tại ngày 1 tháng 1 năm 2023 > Tải sản của bộ phận,Tải sản của bộ phận,21.264.638.289.866,119.577.173.348,1.352.589.943.176,(5.514.178.134.152),17.222.627.272.238,21264638289866.0,119577173348.0,1352589943176.0,-5514178134152.0,17222627272238.0
Khoản đầu tư vào công ty liên kết,Tại ngày 1 tháng 1 năm 2023 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.463.170.597.619,912.560.000,307.875.000,1.322.744.221.695,2.787.135.254.314,1463170597619.0,912560000.0,307875000.0,1322744221695.0,2787135254314.0
Tổng tài sản của bộ phận,Tại ngày 1 tháng 1 năm 2023 > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,22.727.808.887.485,120.489.733.348,1.352.897.818.176,(4.191.433.912.457),20.009.762.526.552,22727808887485.0,120489733348.0,1352897818176.0,-4191433912457.0,20009762526552.0
Tổng nợ phải trả của bộ phận,Tại ngày 1 tháng 1 năm 2023 > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,12.035.453.610.409,352.140.219.783,478.173.729.586,(2.258.516.367.360),10.607.251.192.418,12035453610409.0,352140219783.0,478173729586.0,-2258516367360.0,10607251192418.0
Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,,,,,
Chỉ tiêu vốn,Năm 2022 > Chỉ tiêu vốn,Chỉ tiêu vốn,521.782.114.393,-,14.093.392.486,(101.888.175.596),433.987.331.283,521782114393.0,,14093392486.0,-101888175596.0,433987331283.0
Khấu hao tài sản cố định hữu hình,Năm 2022 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,734.383.554.673,1.483.998.059,42.759.050.850,334.492.049,778.961.095.631,734383554673.0,1483998059.0,42759050850.0,334492049.0,778961095631.0
Khấu hao tài sản cố định hữu hìnhthuệ tài chính,Năm 2022 > Khấu hao tài sản cố định hữu hìnhthuệ tài chính,Khấu hao tài sản cố định hữu hìnhthuệ tài chính,18.141.354.028,-,-,-,18.141.354.028,18141354028.0,,,,18141354028.0
Khấu hao tài sản cố định vô hình,Năm 2022 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,4.273.023.328,-,75.714.288,-,4.348.737.616,4273023328.0,,75714288.0,,4348737616.0
Khấu hao bất động sản đầu tư,Năm 2022 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,7.276.681.798,217.950.774,9.445.286.820,-,16.939.919.392,7276681798.0,217950774.0,9445286820.0,,16939919392.0
