row_label_raw,row_label_full,Năm 2023,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,4.978.614.253.458,11.487.315.948.872,16.465.930.202.330,4978614253458.0,11487315948872.0,16465930202330.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(201.115.269.668),1.429.235.130.738,1.228.119.861.070,-201115269668.0,1429235130738.0,1228119861070.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,935.848.382.716,,,935848382716.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(1.781.479.295.425),,,-1781479295425.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,382.488.948.361,,,382488948361.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,211.198.203.347,,,211198203347.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(55.156.773.240),,,-55156773240.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(142.646.631.143),,,-142646631143.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,395.883.747.325,,,395883747325.0
Năm 2022,Năm 2022,Năm 2022,Nội địa VNDĐã điều chỉnh lại,Xuất khẩu VNDĐã điều chỉnh lại,Hợp nhất VNDĐã điều chỉnh lại,,,
Tổng doanh thu của bộ phận,Năm 2022 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,5.741.098.072.956,12.565.959.469.667,18.307.057.542.623,5741098072956.0,12565959469667.0,18307057542623.0
Kết quả kinh doanh của bộ phận,Năm 2022 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,453.198.102.259,1.551.077.980.247,2.004.276.082.506,453198102259.0,1551077980247.0,2004276082506.0
Thu nhập không phân bổ,Năm 2022 > Thu nhập không phân bổ,Thu nhập không phân bổ,,,1.273.328.969.821,,,1273328969821.0
Chi phí không phân bổ,Năm 2022 > Chi phí không phân bổ,Chi phí không phân bổ,,,(2.095.680.365.614),,,-2095680365614.0
Kết quả từ hoạt động kinh doanh,Năm 2022 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,1.181.924.686.713,,,1181924686713.0
Thu nhập khác,Năm 2022 > Thu nhập khác,Thu nhập khác,,,54.344.374.347,,,54344374347.0
Chi phí khác,Năm 2022 > Chi phí khác,Chi phí khác,,,(46.837.107.281),,,-46837107281.0
Thuế thu nhập doanh nghiệp,Năm 2022 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(133.916.102.218),,,-133916102218.0
Lợi nhuận thuần sau thuế TNDN,Năm 2022 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,1.055.515.851.561,,,1055515851561.0
