row_label_raw,row_label_full,col_0,2022Theo báo cáotrước đãyVND,2022Điều chínhcủa Kiểm toánNhà nướcVND,2022Đã điều chỉnh lạiVND,numeric__2022Theo báo cáotrước đãyVND,numeric__2022Điều chínhcủa Kiểm toánNhà nướcVND,numeric__2022Đã điều chỉnh lạiVND
Doanh thu bán hàng và cung cấpdịch vụ,Doanh thu bán hàng và cung cấpdịch vụ,Doanh thu bán hàng và cung cấpdịch vụ,18.297.216.295.831,34.510.104.068,18.331.726.399.899,18297216295831.0,34510104068.0,18331726399899.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,16.290.591.922.868,12.189.537.249,16.302.781.460.117,16290591922868.0,12189537249.0,16302781460117.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,554.924.601.814,1.703.213.409,556.627.815.223,554924601814.0,1703213409.0,556627815223.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,616.716.655.180,106.483.928.124,723.200.583.304,616716655180.0,106483928124.0,723200583304.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,567.340.895.557,(429.337.960),566.911.557.597,567340895557.0,-429337960.0,566911557597.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,854.874.152.603,(49.305.927.890),805.568.224.713,854874152603.0,-49305927890.0,805568224713.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,44.609.706.410,9.734.667.937,54.344.374.347,44609706410.0,9734667937.0,54344374347.0
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.212.422.167.888,(22.990.214.109),1.189.431.953.779,1212422167888.0,-22990214109.0,1189431953779.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,140.280.019.988,6.428.956.324,146.708.976.312,140280019988.0,6428956324.0,146708976312.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,(10.925.240.756),(1.867.633.338),(12.792.874.094),-10925240756.0,-1867633338.0,-12792874094.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,1.083.067.388.656,(27.551.537.095),1.055.515.851.561,1083067388656.0,-27551537095.0,1055515851561.0
Lợi nhuận sau thuế TNDN phân bổcho cổ đông của công ty mẹ,Lợi nhuận sau thuế TNDN phân bổcho cổ đông của công ty mẹ,Lợi nhuận sau thuế TNDN phân bổcho cổ đông của công ty mẹ,587.345.236.872,6.968.251.113,594.313.487.985,587345236872.0,6968251113.0,594313487985.0
Lợi nhuận sau thuế TNDN phân bổcho cổ không kiểm soát,Lợi nhuận sau thuế TNDN phân bổcho cổ không kiểm soát,Lợi nhuận sau thuế TNDN phân bổcho cổ không kiểm soát,495.722.151.784,(34.519.788.208),461.202.363.576,495722151784.0,-34519788208.0,461202363576.0
