row_label_raw,row_label_full,col_0,1/1/2023Theo báo cáotrước đâyVND,1/1/2023Điều chinhcủa Kiểm toánNhà nướcVND,1/1/2023Đã điều chỉnh lạiVND,numeric__1/1/2023Theo báo cáotrước đâyVND,numeric__1/1/2023Điều chinhcủa Kiểm toánNhà nướcVND,numeric__1/1/2023Đã điều chỉnh lạiVND
Đầu tư nằm giữ đến ngày đáo hạn –ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn –ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn –ngắn hạn,2.251.456.495.286,(143.381.138.940),2.108.075.356.346,2251456495286.0,-143381138940.0,2108075356346.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,2.021.874.040.655,34.367.644.730,2.056.241.685.385,2021874040655.0,34367644730.0,2056241685385.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,497.754.646.941,43.791.725.056,541.546.371.997,497754646941.0,43791725056.0,541546371997.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(325.389.110.949),4.465.025.396,(320.924.085.553),-325389110949.0,4465025396.0,-320924085553.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,4.471.910.096.770,(22.258.690.657),4.449.651.406.113,4471910096770.0,-22258690657.0,4449651406113.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(334.048.167.239),16.768.404.907,(317.279.762.332),-334048167239.0,16768404907.0,-317279762332.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,27.971.288.981,399.689.660,28.370.978.641,27971288981.0,399689660.0,28370978641.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,218.835.165.035,(502.886.678),218.332.278.357,218835165035.0,-502886678.0,218332278357.0
Tài sản cố định hữu hình –Nguyên giá,Tài sản cố định hữu hình –Nguyên giá,Tài sản cố định hữu hình –Nguyên giá,14.047.149.297.127,2.936.196.305,14.050.085.493.432,14047149297127.0,2936196305.0,14050085493432.0
Tài sản cố định hữu hình –Giá trị hao mòn lũy kế,Tài sản cố định hữu hình –Giá trị hao mòn lũy kế,Tài sản cố định hữu hình –Giá trị hao mòn lũy kế,(8.066.959.570.882),(339.696.266),(8.067.299.267.148),-8066959570882.0,-339696266.0,-8067299267148.0
