row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,123.453.958.005,31.026.981.457,1.101.661.600,155.582.601.062,123453958005.0,31026981457.0,1101661600.0,155582601062.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,369.849.694,-,369.849.694,,369849694.0,,369849694.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,816.163.769,-,816.163.769,,816163769.0,,816163769.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.328.353.766),-,-,(2.328.353.766),-2328353766.0,,,-2328353766.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(7.750.452.364),-,(7.750.452.364),,-7750452364.0,,-7750452364.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(657.074.114),657.074.114,-,,-657074114.0,657074114.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,121.125.604.239,23.805.468.442,1.758.735.714,146.689.808.395,121125604239.0,23805468442.0,1758735714.0,146689808395.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,33.159.271.794,25.750.078.861,1.101.661.600,60.011.012.255,33159271794.0,25750078861.0,1101661600.0,60011012255.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.226.796.492,1.498.701.764,65.707.416,2.791.205.672,1226796492.0,1498701764.0,65707416.0,2791205672.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(2.289.257.030),-,-,(2.289.257.030),-2289257030.0,,,-2289257030.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(7.750.452.364),-,(7.750.452.364),,-7750452364.0,,-7750452364.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(262.829.664),262.829.664,-,,-262829664.0,262829664.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,32.096.811.256,19.235.498.597,1.430.198.680,52.762.508.533,32096811256.0,19235498597.0,1430198680.0,52762508533.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,90.294.686.211,5.276.902.596,-,95.571.588.807,90294686211.0,5276902596.0,,95571588807.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,89.028.792.983,4.569.969.845,328.537.034,93.927.299.862,89028792983.0,4569969845.0,328537034.0,93927299862.0
