row_label_raw,row_label_full,col_0,31/12/2023VND,1/1/2023VNDĐã điều chỉnh lại,numeric__31/12/2023VND,numeric__1/1/2023VNDĐã điều chỉnh lại
Nhận tạm ứng từ một số cá nhân liên quan đến việc bán các khoản phải thu tại một công ty con (*),Nhận tạm ứng từ một số cá nhân liên quan đến việc bán các khoản phải thu tại một công ty con (*),Nhận tạm ứng từ một số cá nhân liên quan đến việc bán các khoản phải thu tại một công ty con (*),196.896.153.787,-,196896153787.0,
"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố","Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố","Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố",,,,
"Thù Đức, Thành phố Hồ Chí Minh (Thuyết minh 9(a))","Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Thù Đức, Thành phố Hồ Chí Minh (Thuyết minh 9(a))","Thù Đức, Thành phố Hồ Chí Minh (Thuyết minh 9(a))",115.401.827.748,-,115401827748.0,
Phải trả cổ tức,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Phải trả cổ tức",Phải trả cổ tức,84.537.983.326,36.765.008.176,84537983326.0,36765008176.0
"Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế","Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm y tế",46.757.602.409,44.802.386.625,46757602409.0,44802386625.0
Phải trả lãi vay khác,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Phải trả lãi vay khác",Phải trả lãi vay khác,24.451.508.615,10.001.939.782,24451508615.0,10001939782.0
Nhận góp vốn các dự án,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Nhận góp vốn các dự án",Nhận góp vốn các dự án,19.500.000.000,19.500.000.000,19500000000.0,19500000000.0
Quỹ từ thiện,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Quỹ từ thiện",Quỹ từ thiện,3.177.683.150,4.010.454.931,3177683150.0,4010454931.0
Nhận ký quỹ và ký cược ngắn hạn,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Nhận ký quỹ và ký cược ngắn hạn",Nhận ký quỹ và ký cược ngắn hạn,1.761.613.973,1.911.613.973,1761613973.0,1911613973.0
Nhận trước tiền bán trái phiếu,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Nhận trước tiền bán trái phiếu",Nhận trước tiền bán trái phiếu,-,42.030.000.000,,42030000000.0
Phải trả khác liên quan đến nghĩa vụ bảo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Phải trả khác liên quan đến nghĩa vụ bảo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam",Phải trả khác liên quan đến nghĩa vụ bảo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam,-,41.455.433.523,,41455433523.0
Phải trả lãi vay cho công ty mua bán nợ và tài sản tồn động của doanh nghiệp,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Phải trả lãi vay cho công ty mua bán nợ và tài sản tồn động của doanh nghiệp",Phải trả lãi vay cho công ty mua bán nợ và tài sản tồn động của doanh nghiệp,-,1.587.470.886,,1587470886.0
Các khoản phải trả khác,"Phải trả một đối tác liên quan đến Dự án Phát triển khu nhà ở tại Phường Phước Long B, Thành phố > Các khoản phải trả khác",Các khoản phải trả khác,36.926.372.822,30.365.653.050,36926372822.0,30365653050.0
,,,529.410.745.830,232.429.960.946,529410745830.0,232429960946.0
