row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sān khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sān khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Nguyên giá > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,4.012.980.846.769,9.345.004.724.998,376.068.097.594,120.861.961.751,195.169.862.320,14.050.085.493.432,4012980846769.0,9345004724998.0,376068097594.0,120861961751.0,195169862320.0,14050085493432.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,33.027.740.288,28.928.790.991,5.114.000.394,3.056.902.449,3.361.603.041,73.489.037.163,33027740288.0,28928790991.0,5114000394.0,3056902449.0,3361603041.0,73489037163.0
Chuyển từ chi phí sản xuấtkinh doanh dở dang dài hạn,Nguyên giá > Chuyển từ chi phí sản xuấtkinh doanh dở dang dài hạn,Chuyển từ chi phí sản xuấtkinh doanh dở dang dài hạn,43.321.784.140,-,-,-,-,43.321.784.140,43321784140.0,,,,,43321784140.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,24.825.812.750,211.603.793.239,6.070.386.662,586.683.962,13.379.323.000,256.465.999.613,24825812750.0,211603793239.0,6070386662.0,586683962.0,13379323000.0,256465999613.0
Chuyển từ tài sản cổ địnhthuê tài chính,Nguyên giá > Chuyển từ tài sản cổ địnhthuê tài chính,Chuyển từ tài sản cổ địnhthuê tài chính,-,214.970.252.659,-,-,-,214.970.252.659,,214970252659.0,,,,214970252659.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.611.519.043,23.418.510,-,-,-,2.634.937.553,2611519043.0,23418510.0,,,,2634937553.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(10.713.354.926),-,-,-,-,(10.713.354.926),-10713354926.0,,,,,-10713354926.0
"Chuyển sang công cụ, dụng cụ","Nguyên giá > Chuyển sang công cụ, dụng cụ","Chuyển sang công cụ, dụng cụ",(977.623.432),(630.000.000),-,(606.255.500),-,(2.213.878.932),-977623432.0,-630000000.0,,-606255500.0,,-2213878932.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(161.101.895.704),(365.493.001.522),(7.988.049.416),(4.991.354.543),(22.423.669.880),(561.997.971.065),-161101895704.0,-365493001522.0,-7988049416.0,-4991354543.0,-22423669880.0,-561997971065.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.812.332.071),2.038.695.707,-,-,(226.363.636),-,-1812332071.0,2038695707.0,,,-226363636.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.942.162.496.857,9.436.446.674.582,379.264.435.234,118.907.938.119,189.260.754.845,14.066.042.299.637,3942162496857.0,9436446674582.0,379264435234.0,118907938119.0,189260754845.0,14066042299637.0
