row_label_raw,row_label_full,col_0,1/1/2023VND,1/1/2023VND_1,Số đã nộp trong năm VND,Số đã được hoàn/ bù trừ trong năm VND,31/12/2023VND,numeric__1/1/2023VND,numeric__1/1/2023VND_1,numeric__Số đã nộp trong năm VND,numeric__Số đã được hoàn/ bù trừ trong năm VND,numeric__31/12/2023VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,7.969.167.374,7.969.167.374,660.338.955,(254.556.647),8.374.949.682,7969167374.0,7969167374.0,660338955.0,-254556647.0,8374949682.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,492.650.205,492.650.205,125.552.759,(135.431.490),482.771.474,492650205.0,492650205.0,125552759.0,-135431490.0,482771474.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,972.845.229,972.845.229,6.743.228.410,(1.701.756.486),6.014.317.153,972845229.0,972845229.0,6743228410.0,-1701756486.0,6014317153.0
Các khoản khác,Các khoản khác,Các khoản khác,86.734.219,86.734.219,127.955.616,-,214.689.835,86734219.0,86734219.0,127955616.0,,214689835.0
,,,9.521.397.027,9.521.397.027,7.657.075.740,(2.091.744.623),15.086.728.144,9521397027.0,9521397027.0,7657075740.0,-2091744623.0,15086728144.0
(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,(b) Thuế và các khoản khác phải nộp Nhà nước,,,,,
,,,1/1/2023VNDĐã điều chỉnh lại,Thuế GTGTđầu raVND,Số phải nộp trong nămVND,Số đã nộp trong nămVND,Bù trừ với thuế GTGT đầu vàoVND,,,,,
Thuế giá trị gia tăng,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế giá trị gia tăng,Thuế giá trị gia tăng,21.992.155.072,550.891.555.567,-,(208.705.510.022),(326.328.789.683),21992155072.0,550891555567.0,,-208705510022.0,-326328789683.0
Thuế xuất nhập khẩu,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,56.980.038,-,20.512.205.387,(20.568.923.408),-,56980038.0,,20512205387.0,-20568923408.0,
Thuế thu nhập doanh nghiệp,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,53.813.742.315,-,100.370.733.824,(99.606.985.655),-,53813742315.0,,100370733824.0,-99606985655.0,
Thuế thu nhập cá nhân,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.292.146.520,-,45.594.273.089,(43.404.463.671),-,5292146520.0,,45594273089.0,-43404463671.0,
Thuế tài nguyên,(b) Thuế và các khoản khác phải nộp Nhà nước > Thuế tài nguyên,Thuế tài nguyên,213.524.722,-,2.501.261.391,(2.473.999.563),-,213524722.0,,2501261391.0,-2473999563.0,
"Tiền thuê, thuế đất","(b) Thuế và các khoản khác phải nộp Nhà nước > Tiền thuê, thuế đất","Tiền thuê, thuế đất",76.820.287.732,-,119.040.501.490,(90.456.441.756),-,76820287732.0,,119040501490.0,-90456441756.0,
Các loại thuế khác (*),(b) Thuế và các khoản khác phải nộp Nhà nước > Các loại thuế khác (*),Các loại thuế khác (*),10.429.291.015,-,6.488.615.958,(6.124.446.962),-,10429291015.0,,6488615958.0,-6124446962.0,
,,,168.618.127.414,550.891.555.567,294.507.591.139,(471.340.771.037),(326.328.789.683),168618127414.0,550891555567.0,294507591139.0,-471340771037.0,-326328789683.0
