row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Nguyên vốn đầu tư xây dựng cơ bản VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kính phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Nguyên vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kính phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,Số dư tại ngày 1/1/2022,5.000.000.000.000,30.361.932.352,45.483.535.973,(747.830.122.185),627.549.624.948,1.326.244.940.260,543.092.845.095,2.196.533.052.050,9.021.435.808.493,24.256.143.942,9.045.691.952.435,5000000000000.0,30361932352.0,45483535973.0,-747830122185.0,627549624948.0,1326244940260.0,543092845095.0,2196533052050.0,9021435808493.0,24256143942.0,9045691952435.0
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,96.197.722.511,-,-,(162.677.520.000),-,66.479.797.489,-,-,-,,,96197722511.0,,,-162677520000.0,,66479797489.0,,,
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,594.313.487.985,-,461.202.363.576,1.055.515.851.561,-,1.055.515.851.561,,,,,,594313487985.0,,461202363576.0,1055515851561.0,,1055515851561.0
Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,Lợi nhuận thuần trong năm – đã điều chỉnh lại,-,-,-,-,-,587.345.236.872,-,495.722.151.784,1.083.067.388.656,-,1.083.067.388.656,,,,,,587345236872.0,,495722151784.0,1083067388656.0,,1083067388656.0
Lợi nhuận thuần trong năm – theoiao báo cáo trước dây,Lợi nhuận thuần trong năm – theoiao báo cáo trước dây,Lợi nhuận thuần trong năm – theoiao báo cáo trước dây,-,-,-,-,-,6.968.251.113,-,(34.519.788.208),(27.551.537.095),-,(27.551.537.095),,,,,,6968251113.0,,-34519788208.0,-27551537095.0,,-27551537095.0
Điều chỉnh lại (Thuyết minh 45),Điều chỉnh lại (Thuyết minh 45),Điều chỉnh lại (Thuyết minh 45),-,-,-,-,102.012.206.744,(102.012.206.744),-,(33.016.107.718),(96.081.369.099),(2.041.627.020),(96.081.369.099),,,,,102012206744.0,-102012206744.0,,-33016107718.0,-96081369099.0,-2041627020.0,-96081369099.0
Phân bổ quỹ đầu tư phá triển,Phân bổ quỹ đầu tư phá triển,Phân bổ quỹ đầu tư phá triển,-,-,-,-,-,(63.065.261.381),-,-,-,(2.041.627.020),(2.041.627.020),,,,,,-63065261381.0,,,,-2041627020.0,-2041627020.0
"Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi","Phân bổ vào quỹ khên thưởng, phúc lợi",-,-,-,-,-,-,-,(235.232.769.786),(585.232.769.786),-,(585.232.769.786),,,,,,,,-235232769786.0,-585232769786.0,,-585232769786.0
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(350.000.000.000),-,(155.693.517),(15.340.703.957),-,(15.340.703.957),,,,,,-350000000000.0,,-155693517.0,-15340703957.0,,-15340703957.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(15.185.010.440),-,-,-,-,-,,,,,,-15185010440.0,,,,,
Các biến động khác về vốn chu sở hữu,Các biến động khác về vốn chu sở hữu,Các biến động khác về vốn chu sở hữu,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Các biến động khác về vốn chu sở hữu > Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,Số dư tại ngày 1/1/2023 – đã điều chỉnh lại,5.000.000.000.000,30.361.932.352,141.681.258.484,(747.830.122.185),729.561.831.692,1.227.618.429.680,543.092.845.095,2.455.810.642.094,9.380.296.817.212,22.214.516.922,9.402.511.334.134,5000000000000.0,30361932352.0,141681258484.0,-747830122185.0,729561831692.0,1227618429680.0,543092845095.0,2455810642094.0,9380296817212.0,22214516922.0,9402511334134.0
Vốn góp/vốn cổ phần,Các biến động khác về vốn chu sở hữu > Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,73.051.750.000,-,-,(119.824.150.000),-,46.772.400.000,-,-,-,,,73051750000.0,,,-119824150000.0,,46772400000.0,,,
Vốn góp/vốn cổ phần,Các biến động khác về vốn chu sở hữu > Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,3.969.720.000,3.969.720.000,-,3.969.720.000,,,,,,,,3969720000.0,3969720000.0,,3969720000.0
Tăng vốn,Các biến động khác về vốn chu sở hữu > Tăng vốn,Tăng vốn,-,-,-,-,-,-,-,230.356.814.427,395.883.747.325,-,395.883.747.325,,,,,,,,230356814427.0,395883747325.0,,395883747325.0
Lợi nhuận thuần trong năm,Các biến động khác về vốn chu sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,165.526.932.898,-,-,-,-,-,,,,,,165526932898.0,,,,,
Lợi nhuận thuần trong năm,Các biến động khác về vốn chu sở hữu > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,(47.852.231.456),-,(30.019.288.024),(77.383.099.434),(2.041.627.020),(77.383.099.434),,,,,,-47852231456.0,,-30019288024.0,-77383099434.0,-2041627020.0,-77383099434.0
Phân bổ quỹ đầu tư phá triển,Các biến động khác về vốn chu sở hữu > Phân bổ quỹ đầu tư phá triển,Phân bổ quỹ đầu tư phá triển,-,-,-,-,-,(47.363.811.410),-,-,-,(2.041.627.020),(2.041.627.020),,,,,,-47363811410.0,,,,-2041627020.0,-2041627020.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Các biến động khác về vốn chu sở hữu > Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(276.387.848.439),(576.387.848.439),-,(576.387.848.439),,,,,,,,-276387848439.0,-576387848439.0,,-576387848439.0
Sử dụng các quỹ,Các biến động khác về vốn chu sở hữu > Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(300.000.000.000),-,(1.428.679.455),(4.638.372.376),-,(4.638.372.376),,,,,,-300000000000.0,,-1428679455.0,-4638372376.0,,-4638372376.0
Cổ tức,Các biến động khác về vốn chu sở hữu > Cổ tức,Cổ tức,-,-,-,-,-,(3.210.151.021),-,-,-,-,-,,,,,,-3210151021.0,,,,,
