row_label_raw,row_label_full,col_0,31/12/2023VND,1/1/2023VNDĐã điều chỉnh lại,numeric__31/12/2023VND,numeric__1/1/2023VNDĐã điều chỉnh lại
Phải thu một đối tác liên quan đến hợp đồng hợp tác kinh doanh (i),Phải thu một đối tác liên quan đến hợp đồng hợp tác kinh doanh (i),Phải thu một đối tác liên quan đến hợp đồng hợp tác kinh doanh (i),187.766.564.464,-,187766564464.0,
Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,105.555.999.212,240.120.334.512,105555999212.0,240120334512.0
Góp vốn vào hợp đồng hợp tác kinh doanh (ii),Góp vốn vào hợp đồng hợp tác kinh doanh (ii),Góp vốn vào hợp đồng hợp tác kinh doanh (ii),43.532.895.759,43.532.895.759,43532895759.0,43532895759.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,10.973.955.274,12.667.462.262,10973955274.0,12667462262.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",62.051.762.400,66.909.968.424,62051762400.0,66909968424.0
Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,17.377.353.391,12.139.664.924,17377353391.0,12139664924.0
Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,19.492.002.283,20.561.482.971,19492002283.0,20561482971.0
Phải thu từ tiền phạt hợp đồng,Phải thu từ tiền phạt hợp đồng,Phải thu từ tiền phạt hợp đồng,25.531.693.863,22.888.451.519,25531693863.0,22888451519.0
Các khoản chi hộ,Các khoản chi hộ,Các khoản chi hộ,1.148.012.500,5.618.065.488,1148012500.0,5618065488.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,2.640.973.262,2.346.647.403,2640973262.0,2346647403.0
Tiền thuế giá trị gia tăng được hoàn,Tiền thuế giá trị gia tăng được hoàn,Tiền thuế giá trị gia tăng được hoàn,4.192.115.452,6.858.111.036,4192115452.0,6858111036.0
Phải thu khác liên quan đến nghĩa vụ báo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam,Phải thu khác liên quan đến nghĩa vụ báo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam,Phải thu khác liên quan đến nghĩa vụ báo lãnh đối với khoản nợ ngân hàng của một đơn vị thành viên của Tập đoàn Đệt May Việt Nam,-,41.455.433.523,,41455433523.0
Phải thu về nhận bồi thường bảo hiểm,Phải thu về nhận bồi thường bảo hiểm,Phải thu về nhận bồi thường bảo hiểm,-,31.395.435.544,,31395435544.0
Phải thu về tạm ứng cho Công ty Cổ phần Đệt May Liên Phương,Phải thu về tạm ứng cho Công ty Cổ phần Đệt May Liên Phương,Phải thu về tạm ứng cho Công ty Cổ phần Đệt May Liên Phương,-,22.001.000.000,,22001000000.0
Phải thu khác,Phải thu khác,Phải thu khác,21.940.125.984,13.051.418.632,21940125984.0,13051418632.0
,,,502.203.453.844,541.546.371.997,502203453844.0,541546371997.0
