row_label_raw,row_label_full,col_0,Hạ tầng khu công nghiệp VND,"Nhà cửa, vật kiến trúc VND",Quyền sử dụng đất VND,Tổng cộng VND,numeric__Hạ tầng khu công nghiệp VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Quyền sử dụng đất VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,211.082.890.880,285.437.345.519,3.534.108.896,500.054.345.295,211082890880.0,285437345519.0,3534108896.0,500054345295.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,10.713.354.926,-,10.713.354.926,,10713354926.0,,10713354926.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,2.328.353.766,2.328.353.766,,,2328353766.0,2328353766.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(143.909.798.002),-,(143.909.798.002),,-143909798002.0,,-143909798002.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,211.082.890.880,152.240.902.443,5.862.462.662,369.186.255.985,211082890880.0,152240902443.0,5862462662.0,369186255985.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.469.588.731,85.693.353.360,1.159.956.055,117.322.898.146,30469588731.0,85693353360.0,1159956055.0,117322898146.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.890.912.948,9.956.877.769,792.546.585,16.640.337.302,5890912948.0,9956877769.0,792546585.0,16640337302.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,5.152.713.830,-,5.152.713.830,,5152713830.0,,5152713830.0
Chuyển từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,2.289.257.030,2.289.257.030,,,2289257030.0,2289257030.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(47.849.273.357),-,(47.849.273.357),,-47849273357.0,,-47849273357.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,36.360.501.679,52.953.671.602,4.241.759.670,93.555.932.951,36360501679.0,52953671602.0,4241759670.0,93555932951.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,180.613.302.149,199.743.992.159,2.374.152.841,382.731.447.149,180613302149.0,199743992159.0,2374152841.0,382731447149.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,174.722.389.201,99.287.230.841,1.620.702.992,275.630.323.034,174722389201.0,99287230841.0,1620702992.0,275630323034.0
