row_label_raw,row_label_full,col_0,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,,
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Năm 2023 > Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,15.901.639.381.936,110.983.979.341,453.306.841.053,-,16.465.930.202.330,15901639381936.0,110983979341.0,453306841053.0,,16465930202330.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Năm 2023 > Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,1.461.213.559.649,28.108.860.154,14.868.137.548,(1.504.190.557.351),-,1461213559649.0,28108860154.0,14868137548.0,-1504190557351.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Năm 2023 > Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,17.362.852.941.585,139.092.839.495,468.174.978.601,(1.504.190.557.351),16.465.930.202.330,17362852941585.0,139092839495.0,468174978601.0,-1504190557351.0,16465930202330.0
Phần lãi trong công ty liên kết,Năm 2023 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,563.660.370.083,1.950.666.860,(1.585.841.058),-,564.025.195.885,563660370083.0,1950666860.0,-1585841058.0,,564025195885.0
Kết quả kinh doanh của bộ phận,Năm 2023 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,299.595.467.055,46.663.309.794,4.907.381.518,31.322.789.994,382.488.948.361,299595467055.0,46663309794.0,4907381518.0,31322789994.0,382488948361.0
Thu nhập khác,Năm 2023 > Thu nhập khác,Thu nhập khác,183.148.798.922,24.606.523.661,20.414.420.788,(16.971.540.024),211.198.203.347,183148798922.0,24606523661.0,20414420788.0,-16971540024.0,211198203347.0
Chi phí khác,Năm 2023 > Chi phí khác,Chi phí khác,(44.710.792.411),(4.509.454.977),(23.156.741.600),17.220.215.748,(55.156.773.240),-44710792411.0,-4509454977.0,-23156741600.0,17220215748.0,-55156773240.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Năm 2023 > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(79.745.976.363),(11.945.186.219),(8.679.571.242),-,(100.370.733.824),-79745976363.0,-11945186219.0,-8679571242.0,,-100370733824.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm 2023 > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,(5.779.834.853),-,-,(36.496.062.466),(42.275.897.319),-5779834853.0,,,-36496062466.0,-42275897319.0
Lợi nhuận thuần sau thuế TNDN,Năm 2023 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,352.507.662.350,54.815.192.259,(6.514.510.536),(4.924.596.748),395.883.747.325,352507662350.0,54815192259.0,-6514510536.0,-4924596748.0,395883747325.0
