row_label_raw,row_label_full,"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của cổ đông không kiểm soát",31,3.969.720.000,-,numeric__31,numeric__3.969.720.000,numeric__-
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,12.108.747.250.217,14.602.206.453.218,33.0,12108747250217.0,14602206453218.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(13.090.927.399.289),(14.300.107.071.845),34.0,-13090927399289.0,-14300107071845.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(528.614.873.289),(595.381.678.996),36.0,-528614873289.0,-595381678996.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.506.825.302.361),(293.282.297.623),40.0,-1506825302361.0,-293282297623.0
