row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,1.671.756.475.654,5.891.957.630.133,251.507.870.449,84.654.759.480,167.422.531.432,8.067.299.267.148,1671756475654.0,5891957630133.0,251507870449.0,84654759480.0,167422531432.0,8067299267148.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,171.916.385.584,493.056.888.130,31.543.276.221,9.084.781.443,11.182.940.832,716.784.272.210,171916385584.0,493056888130.0,31543276221.0,9084781443.0,11182940832.0,716784272210.0
Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hìnhthuê tài chính,Chuyển từ tài sản cố định hữu hìnhthuê tài chính,-,74.837.917.487,-,-,-,74.837.917.487,,74837917487.0,,,,74837917487.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,949.129.255,-,-,-,-,949.129.255,949129255.0,,,,,949129255.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(5.152.713.830),-,-,-,-,(5.152.713.830),-5152713830.0,,,,,-5152713830.0
"Chuyển sang công cụ, dụng cụ","Giá trị hao mòn lũy kế > Chuyển sang công cụ, dụng cụ","Chuyển sang công cụ, dụng cụ",(769.466.969),(575.592.108),-,(576.289.624),-,(1.921.348.701),-769466969.0,-575592108.0,,-576289624.0,,-1921348701.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(98.369.903.824),(285.011.946.796),(7.931.484.356),(4.425.587.905),(22.383.009.448),(418.121.932.329),-98369903824.0,-285011946796.0,-7931484356.0,-4425587905.0,-22383009448.0,-418121932329.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(1.923.627.517),2.038.695.707,-,-,(115.068.190),-,-1923627517.0,2038695707.0,,,-115068190.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.738.406.278.353,6.176.303.592.553,275.119.662.314,88.737.663.394,156.107.394.626,8.434.674.591.240,1738406278353.0,6176303592553.0,275119662314.0,88737663394.0,156107394626.0,8434674591240.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,2.341.224.371.115,3.453.047.094.865,124.560.227.145,36.207.202.271,27.747.330.888,5.982.786.226.284,2341224371115.0,3453047094865.0,124560227145.0,36207202271.0,27747330888.0,5982786226284.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.203.756.218.504,3.260.143.082.029,104.144.772.920,30.170.274.725,33.153.360.219,5.631.367.708.397,2203756218504.0,3260143082029.0,104144772920.0,30170274725.0,33153360219.0,5631367708397.0
