row_label_raw,row_label_full,col_0,2023VND,2022VNDĐã điều chỉnh lại,numeric__2023VND,numeric__2022VNDĐã điều chỉnh lại
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Bán hàng,Tổng doanh thu > ▪ Bán hàng,▪ Bán hàng,15.813.162.787.845,17.612.384.367.136,15813162787845.0,17612384367136.0
▪ Cung cấp dịch vụ và gia công,Tổng doanh thu > ▪ Cung cấp dịch vụ và gia công,▪ Cung cấp dịch vụ và gia công,562.281.765.241,603.406.565.156,562281765241.0,603406565156.0
▪ Bán và cho thuê bắt động sản,Tổng doanh thu > ▪ Bán và cho thuê bắt động sản,▪ Bán và cho thuê bắt động sản,115.275.851.109,115.935.467.607,115275851109.0,115935467607.0
,,,16.490.720.404.195,18.331.726.399.899,16490720404195.0,18331726399899.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,(18.603.355.231),(17.797.710.709),-18603355231.0,-17797710709.0
▪ Giảm giá hàng bán,Trừ đi các khoản giảm trừ doanh thu > ▪ Giảm giá hàng bán,▪ Giảm giá hàng bán,(266.789.419),(2.733.452.568),-266789419.0,-2733452568.0
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,(5.920.057.215),(4.137.693.999),-5920057215.0,-4137693999.0
,,,(24.790.201.865),(24.668.857.276),-24790201865.0,-24668857276.0
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,16.465.930.202.330,18.307.057.542.623,16465930202330.0,18307057542623.0
