row_label_raw,row_label_full,col_0,2023VND,2022VNDĐã điều chỉnh lại,numeric__2023VND,numeric__2022VNDĐã điều chỉnh lại
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,528.930.378.468,1.189.431.953.779,528930378468.0,1189431953779.0
Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,Thuế tính theo thuế suất của Công ty mẹ -Tập đoàn Đệt May Việt Nam,105.786.075.694,237.886.390.756,105786075694.0,237886390756.0
Uu đãi thuế,Uu đãi thuế,Uu đãi thuế,(4.493.333.788),(4.925.228.643),-4493333788.0,-4925228643.0
Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khácáp dụng cho các công ty con,(4.214.610.500),(6.226.005.060),-4214610500.0,-6226005060.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,7.573.088.337,9.265.704.210,7573088337.0,9265704210.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(115.966.861.063),(148.517.247.668),-115966861063.0,-148517247668.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(8.191.942.374),(4.154.419.634),-8191942374.0,-4154419634.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,Tài sản thuế thu nhập hoãn lại chưa được ghi nhậnđối với lỗ tính thuế của năm hiện hành,116.382.191.995,32.558.696.905,116382191995.0,32558696905.0
Biến động chênh lệch tạm thời chưa được ghi nhận,Biến động chênh lệch tạm thời chưa được ghi nhận,Biến động chênh lệch tạm thời chưa được ghi nhận,42.529.600.322,20.235.948.341,42529600322.0,20235948341.0
Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,3.242.422.520,(2.207.736.989),3242422520.0,-2207736989.0
,,,142.646.631.143,133.916.102.218,142646631143.0,133916102218.0
