row_label_raw,row_label_full,col_0,2022Theo báo cáotrước đayVND,2022Điều chinhcủa Kiểm toánNhà nướcVND,2022Đã điều chỉnh lạiVND,numeric__2022Theo báo cáotrước đayVND,numeric__2022Điều chinhcủa Kiểm toánNhà nướcVND,numeric__2022Đã điều chỉnh lạiVND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.212.422.167.888,(22.990.214.109),1.189.431.953.779,1212422167888.0,-22990214109.0,1189431953779.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,833.252.319.720,(1.499.710.042),831.752.609.678,833252319720.0,-1499710042.0,831752609678.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,282.957.316.258,43.795.064.298,326.752.380.556,282957316258.0,43795064298.0,326752380556.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,552.551.558.444,(78.094.582.333),474.456.976.111,552551558444.0,-78094582333.0,474456976111.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,(1.085.642.407.537),22.258.690.657,(1.063.383.716.880),-1085642407537.0,22258690657.0,-1063383716880.0
Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,(1.042.421.771.944),35.958.301.234,(1.006.463.470.710),-1042421771944.0,35958301234.0,-1006463470710.0
Biến động chỉ phí trả trước,Biến động chỉ phí trả trước,Biến động chỉ phí trả trước,(7.368.000.901),572.450.295,(6.795.550.606),-7368000901.0,572450295.0,-6795550606.0
