row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,259.886.672.342,-,259.886.672.342,259886672342.0,,259886672342.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,64.780.818.864,2.550.974.243,67.331.793.107,64780818864.0,2550974243.0,67331793107.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,56.482.685.423,-,56.482.685.423,56482685423.0,,56482685423.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(214.970.252.659),-,(214.970.252.659),-214970252659.0,,-214970252659.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,166.179.923.970,2.550.974.243,168.730.898.213,166179923970.0,2550974243.0,168730898213.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị hao mòn lũy kế > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,79.245.984.140,-,79.245.984.140,79245984140.0,,79245984140.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,17.588.130.642,102.203.784,17.690.334.426,17588130642.0,102203784.0,17690334426.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(74.837.917.487),-,(74.837.917.487),-74837917487.0,,-74837917487.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,21.996.197.295,102.203.784,22.098.401.079,21996197295.0,102203784.0,22098401079.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,180.640.688.202,-,180.640.688.202,180640688202.0,,180640688202.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,144.183.726.675,2.448.770.459,146.632.497.134,144183726675.0,2448770459.0,146632497134.0
