row_label_raw,row_label_full,col_0,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,Tại ngày 31/12/2023,,,
Tài sản của bộ phận,Tại ngày 31/12/2023 > Tài sản của bộ phận,Tài sản của bộ phận,825.811.672.674,1.258.707.320.474,2.084.518.993.148,825811672674.0,1258707320474.0,2084518993148.0
Tài sản không phân bổ,Tại ngày 31/12/2023 > Tài sản không phân bổ,Tài sản không phân bổ,,,16.991.751.676.741,,,16991751676741.0
Tổng tài sản,Tại ngày 31/12/2023 > Tổng tài sản,Tổng tài sản,,,19.076.270.669.889,,,19076270669889.0
Nợ phải trả của bộ phận,Tại ngày 31/12/2023 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,36.110.680.260,41.420.322.665,77.531.002.925,36110680260.0,41420322665.0,77531002925.0
Các khoản nợ không phân bổ,Tại ngày 31/12/2023 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,9.856.825.812.774,,,9856825812774.0
Tổng nợ phải trả,Tại ngày 31/12/2023 > Tổng nợ phải trả,Tổng nợ phải trả,,,9.934.356.815.699,,,9934356815699.0
,,,Nội địa VNDĐã điều chỉnh lại,Xuất khẩu VNDĐã điều chỉnh lại,Hợp nhất VNDĐã điều chỉnh lại,,,
Tại ngày 1/1/2023,Tại ngày 1/1/2023,Tại ngày 1/1/2023,Tại ngày 1/1/2023,Tại ngày 1/1/2023,Tại ngày 1/1/2023,,,
Tài sản của bộ phận,Tại ngày 1/1/2023 > Tài sản của bộ phận,Tài sản của bộ phận,860.753.831.344,874.563.768.488,1.735.317.599.832,860753831344.0,874563768488.0,1735317599832.0
Tài sản không phân bổ,Tại ngày 1/1/2023 > Tài sản không phân bổ,Tài sản không phân bổ,,,18.274.444.926.720,,,18274444926720.0
Tổng tài sản,Tại ngày 1/1/2023 > Tổng tài sản,Tổng tài sản,,,20.009.762.526.552,,,20009762526552.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2023 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,30.377.125.203,59.963.194.540,90.340.319.743,30377125203.0,59963194540.0,90340319743.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2023 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,10.516.910.872.675,,,10516910872675.0
Tổng nợ phải trả,Tại ngày 1/1/2023 > Tổng nợ phải trả,Tổng nợ phải trả,,,10.607.251.192.418,,,10607251192418.0
