row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVNDĐã điều chỉnh lại,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVNDĐã điều chỉnh lại,numeric__Công nghiệpdệt mayVNDĐã điều chỉnh lại,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVNDĐã điều chỉnh lại
Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,Năm 2022,,,,,
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Năm 2022 > Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,17.665.333.917.049,125.558.724.687,516.164.900.887,-,18.307.057.542.623,17665333917049.0,125558724687.0,516164900887.0,,18307057542623.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Năm 2022 > Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,1.606.592.597.477,30.684.543.435,41.293.861.104,(1.678.571.002.016),-,1606592597477.0,30684543435.0,41293861104.0,-1678571002016.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Năm 2022 > Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,19.271.926.514.526,156.243.268.122,557.458.761.991,(1.678.571.002.016),18.307.057.542.623,19271926514526.0,156243268122.0,557458761991.0,-1678571002016.0,18307057542623.0
Phần lãi trong công ty liên kết,Năm 2022 > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,686.718.324.467,4.683.444.204,25.299.385.927,-,716.701.154.598,686718324467.0,4683444204.0,25299385927.0,,716701154598.0
Kết quả kinh doanh của bộ phận,Năm 2022 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.212.997.821.172,1.945.533.476,(100.732.969.615),67.714.301.680,1.181.924.686.713,1212997821172.0,1945533476.0,-100732969615.0,67714301680.0,1181924686713.0
Thu nhập khác,Năm 2022 > Thu nhập khác,Thu nhập khác,89.388.204.025,102.191.512,92.083.852.048,(127.229.873.238),54.344.374.347,89388204025.0,102191512.0,92083852048.0,-127229873238.0,54344374347.0
Chi phí khác,Năm 2022 > Chi phí khác,Chi phí khác,(81.184.106.431),(475.883.694),(49.147.571.713),83.970.454.557,(46.837.107.281),-81184106431.0,-475883694.0,-49147571713.0,83970454557.0,-46837107281.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Năm 2022 > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(134.217.183.642),(1.564.932.709),(10.926.859.961),-,(146.708.976.312),-134217183642.0,-1564932709.0,-10926859961.0,,-146708976312.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Năm 2022 > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,12.550.514.346,-,-,242.359.748,12.792.874.094,12550514346.0,,,242359748.0,12792874094.0
Lợi nhuận thuần sau thuế TNDN,Năm 2022 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,1.099.535.249.470,6.908.585,(68.723.549.241),24.697.242.747,1.055.515.851.561,1099535249470.0,6908585.0,-68723549241.0,24697242747.0,1055515851561.0
