row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,"Chi phí thuệvăn phòng,nhà xưởngtrả trướcVND",Công cụ vàdụng cụVND,Phụ tùngthay thếVND,Chi phísửa chữa lớntài sản cố địnhVND,Chi phí trả trướcdài hạn khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,"numeric__Chi phí thuệvăn phòng,nhà xưởngtrả trướcVND",numeric__Công cụ vàdụng cụVND,numeric__Phụ tùngthay thếVND,numeric__Chi phísửa chữa lớntài sản cố địnhVND,numeric__Chi phí trả trướcdài hạn khácVND,numeric__Tổng cộngVND
Số dư đầu năm –đã điều chỉnh lại,Số dư đầu năm –đã điều chỉnh lại,Số dư đầu năm –đã điều chỉnh lại,183.302.896.638,16.747.500.000,55.236.471.235,621.582.124,31.311.571.503,33.280.721.454,320.500.742.954,183302896638.0,16747500000.0,55236471235.0,621582124.0,31311571503.0,33280721454.0,320500742954.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,56.567.097.223,176.628.756,8.673.450.064,19.064.119.660,84.481.295.703,,,56567097223.0,176628756.0,8673450064.0,19064119660.0,84481295703.0
Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,-,10.155.665.438,-,1.506.710.615,-,11.662.376.053,,,10155665438.0,,1506710615.0,,11662376053.0
Thanh lý,Thanh lý,Thanh lý,(4.428.039.226),-,(19.446.995),-,-,-,(4.447.486.221),-4428039226.0,,-19446995.0,,,,-4447486221.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(6.261.568.465),(5.220.000.000),(58.557.889.179),(424.458.496),(12.708.160.689),(21.955.984.781),(105.128.061.610),-6261568465.0,-5220000000.0,-58557889179.0,-424458496.0,-12708160689.0,-21955984781.0,-105128061610.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,172.613.288.947,11.527.500.000,63.381.897.722,373.752.384,28.783.571.493,30.388.856.333,307.068.866.879,172613288947.0,11527500000.0,63381897722.0,373752384.0,28783571493.0,30388856333.0,307068866879.0
