row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023 VND,2022 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2023 VND,numeric__2022 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,32,16.490.720.404.195,18.331.726.399.899,1.0,32.0,16490720404195.0,18331726399899.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,32,24.790.201.865,24.668.857.276,2.0,32.0,24790201865.0,24668857276.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,32,16.465.930.202.330,18.307.057.542.623,10.0,32.0,16465930202330.0,18307057542623.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,33,15.237.810.341.260,16.302.781.460.117,11.0,33.0,15237810341260.0,16302781460117.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,1.228.119.861.070,2.004.276.082.506,20.0,,1228119861070.0,2004276082506.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,34,371.823.186.831,556.627.815.223,21.0,34.0,371823186831.0,556627815223.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,35,535.280.688.102,723.200.583.304,22.0,35.0,535280688102.0,723200583304.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,347.746.865.398,305.941.266.264,23.0,,347746865398.0,305941266264.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,24,6(b),564.025.195.885,716.701.154.598,24.0,,564025195885.0,716701154598.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,36,444.585.396.813,566.911.557.597,25.0,36.0,444585396813.0,566911557597.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,37,801.613.210.510,805.568.224.713,26.0,37.0,801613210510.0,805568224713.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 +26)},30,,382.488.948.361,1.181.924.686.713,30.0,,382488948361.0,1181924686713.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,38,211.198.203.347,54.344.374.347,31.0,38.0,211198203347.0,54344374347.0
Chi phí khác,Chi phí khác,Chi phí khác,32,39,55.156.773.240,46.837.107.281,32.0,39.0,55156773240.0,46837107281.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,156.041.430.107,7.507.267.066,40.0,,156041430107.0,7507267066.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,538.530.378.468,1.189.431.953.779,50.0,,538530378468.0,1189431953779.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,41,100.370.733.824,146.708.976.312,51.0,41.0,100370733824.0,146708976312.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,41,42.275.897.319,(12.792.874.094),52.0,41.0,42275897319.0,-12792874094.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (chuyển sang trang sau),60,,395.883.747.325,1.055.515.851.561,60.0,,395883747325.0,1055515851561.0
