row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá gốcVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2023Dự phòngVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Giá trị hợp lýVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá gốcVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__31/12/2023Dự phòngVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,numeric__Giá trị hợp lýVND > Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn
▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),2.172.291.547.473,-,2.191.783.549.756(*),2172291547473.0,,
▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),14.085.049.336,-,2.191.783.549.756(*),14085049336.0,,
,,,2.186.376.596.809,-,,2186376596809.0,,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Tiền gửi có kỳ hạn (i),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),8.000.000.000,-,(*),8000000000.0,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),148.485.600.000,(120.713.324.125),(*),148485600000.0,-120713324125.0,
▪ Trái phiếu ngân hàng (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu ngân hàng (iii),▪ Trái phiếu ngân hàng (iii),3.200.000.000,-,(*),3200000000.0,,
,,,159.685.600.000,(120.713.324.125),,159685600000.0,-120713324125.0,
,,,Giá gốcVNDĐã điều chỉnh lại,1/1/2023Dự phòngVNDĐã điều chỉnh lại,Giá trị hợp lýVNDĐã điều chỉnh lại,,,
Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,,,
▪ Tiền gửi có kỳ hạn (i),Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > ▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),1.986.610.910.928,-,2.006.426.259.514(*),1986610910928.0,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),121.464.445.418,-,2.006.426.259.514(*),121464445418.0,,
,,,2.108.075.356.346,-,,2108075356346.0,,
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,
▪ Trái phiếu doanh nghiệp (ii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu doanh nghiệp (ii),▪ Trái phiếu doanh nghiệp (ii),106.600.000.000,(106.600.000.000),(*),106600000000.0,-106600000000.0,
▪ Trái phiếu ngân hàng (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu ngân hàng (iii),▪ Trái phiếu ngân hàng (iii),4.400.000.000,-,(*),4400000000.0,,
,,,111.000.000.000,(106.600.000.000),,111000000000.0,-106600000000.0,
