row_label_raw,row_label_full,col_0,31/12/2023,31/12/2023_1,31/12/2023_2,numeric__31/12/2023,numeric__31/12/2023_1,numeric__31/12/2023_2
,,,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,,,
Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,24.380.249.836,1.606.317.856,22.773.931.980,24380249836.0,1606317856.0,22773931980.0
Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,71.257.631.288,1.848.382.192,69.409.249.096,71257631288.0,1848382192.0,69409249096.0
Sau năm năm,Sau năm năm,Sau năm năm,12.768.423.890,126.420.039,12.642.003.851,12768423890.0,126420039.0,12642003851.0
,,,108.406.305.014,3.581.120.087,104.825.184.927,108406305014.0,3581120087.0,104825184927.0
,,,1/1/2023,1/1/2023,1/1/2023,,,
,,,Tổng khoản thanh toán tiền thuê tài chính VND,Tiền lãi thuê VND,Nợ gốc VND,,,
Trong vòng một năm,Trong vòng một năm,Trong vòng một năm,34.832.544.284,3.326.667.737,31.505.876.547,34832544284.0,3326667737.0,31505876547.0
Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,Trong vòng hai đến năm năm,64.192.923.239,1.708.379.649,62.484.543.590,64192923239.0,1708379649.0,62484543590.0
Sau năm năm,Sau năm năm,Sau năm năm,9.596.353.825,387.329.729,9.209.024.096,9596353825.0,387329729.0,9209024096.0
,,,108.621.821.348,5.422.377.115,103.199.444.233,108621821348.0,5422377115.0,103199444233.0
