row_label_raw,row_label_full,col_0,Dự phòngchi phí di đời(*)VND,Dự phòngbồi thườngtôn thất(**)VND,Tổng cộngVND,numeric__Dự phòngchi phí di đời(*)VND,numeric__Dự phòngbồi thườngtôn thất(**)VND,numeric__Tổng cộngVND
Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,24.665.668.570,62.473.188.366,87.138.856.936,24665668570.0,62473188366.0,87138856936.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,(24.665.668.570),-,(24.665.668.570),-24665668570.0,,-24665668570.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,62.473.188.366,62.473.188.366,,62473188366.0,62473188366.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,-,62.473.188.366,62.473.188.366,,62473188366.0,62473188366.0
