row_label_raw,row_label_full,col_0,31/12/2023,31/12/2023_1,numeric__31/12/2023,numeric__31/12/2023_1
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,555.582.920.788,(1.662.688.594),555582920788.0,-1662688594.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,921.530.102.295,(12.642.231.961),921530102295.0,-12642231961.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,9.686.652.724,-,9686652724.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),801.469.293.896,(5.914.695.818),801469293896.0,-5914695818.0
Thành phẩm,Thành phẩm,Thành phẩm,777.214.020.528,(80.448.718.046),777214020528.0,-80448718046.0
Hàng hóa,Hàng hóa,Hàng hóa,67.862.038.292,(1.813.219.638),67862038292.0,-1813219638.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,85.624.637.062,-,85624637062.0,
,,,3.218.969.665.585,(102.481.554.057),3218969665585.0,-102481554057.0
,,,1/1/2023,1/1/2023,,
,,,Giá gốc VNDĐã điều chỉnh lại,Dự phòng VNDĐã điều chỉnh lại,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,259.795.509.905,(6.540.852.874),259795509905.0,-6540852874.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.432.877.770.483,(109.677.991.480),1432877770483.0,-109677991480.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,6.389.651.102,-,6389651102.0,
Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),Chi phí sản xuất kinh doanh dở dang (*),1.078.185.623.772,(7.733.835.610),1078185623772.0,-7733835610.0
Thành phẩm,Thành phẩm,Thành phẩm,1.392.229.603.742,(191.665.368.152),1392229603742.0,-191665368152.0
Hàng hóa,Hàng hóa,Hàng hóa,55.407.055.910,(1.661.714.216),55407055910.0,-1661714216.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,224.766.191.199,-,224766191199.0,
,,,4.449.651.406.113,(317.279.762.332),4449651406113.0,-317279762332.0
