row_label_raw,row_label_full,Cộng ty con,Hoạt động chính,% quyền biểu quyết,% quyền biểu quyết_1,% lợi ích kinh tế,% lợi ích kinh tế_1,numeric__Hoạt động chính,numeric__% quyền biểu quyết,numeric__% quyền biểu quyết_1,numeric__% lợi ích kinh tế,numeric__% lợi ích kinh tế_1
Cộng ty con,Cộng ty con,Cộng ty con,Hoạt động chính,31/12/2021,1/1/2021,31/12/2021,1/1/2021,,,,,
Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,Các công ty con sở trực tiếp,,,,,
Mseafood Corporation,Các công ty con sở trực tiếp > Mseafood Corporation,Mseafood Corporation,Kinh doanh các sản phẩm thủy sản.,"90,00%","90,00%","90,00%","90,00%",,0.9,0.9,0.9,0.9
Cộng ty Cổ phần Thủy sản Minh Phú Hậu Giang,Các công ty con sở trực tiếp > Cộng ty Cổ phần Thủy sản Minh Phú Hậu Giang,Cộng ty Cổ phần Thủy sản Minh Phú Hậu Giang,"Chế biến và kinh doanh bột cá, các sản phẩm thủy sản, dầu cá sinh học; kinh doanh hàng hóa, nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản; dầu tư và kinh doanh cơ sở hạ tầng; xây dựng các công trình công nghiệp và dân dụng.","98,27%","98,27%","98,27%","98,27%",,0.9826999999999999,0.9826999999999999,0.9826999999999999,0.9826999999999999
Cộng ty TNHH Chế biến Thủy sản Minh Quí (i),Các công ty con sở trực tiếp > Cộng ty TNHH Chế biến Thủy sản Minh Quí (i),Cộng ty TNHH Chế biến Thủy sản Minh Quí (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","97,50%","97,50%","97,50%","97,50%",,0.975,0.975,0.975,0.975
Cộng ty TNHH Chế biến Thủy sản Minh Phát (i),Các công ty con sở trực tiếp > Cộng ty TNHH Chế biến Thủy sản Minh Phát (i),Cộng ty TNHH Chế biến Thủy sản Minh Phát (i),"Chế biến và kinh doanh các sản phẩm thủy sản, nhập khẩu nguyên vật liệu, máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,17%","95,00%","99,17%","95,00%",,0.9917,0.95,0.9917,0.95
Cộng ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),Các công ty con sở trực tiếp > Cộng ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),Cộng ty TNHH Thủy hải sản Minh Phú – Kiên Giang (i),"Nuôi trồng thủy sản; chế biến, bảo quản các sản phẩm thủy sản; sản xuất giống thủy sản; kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","99,89%","99,83%","99,89%","99,83%",,0.9989,0.9983,0.9989,0.9983
Cộng ty TNHH Sản xuất giống thủy sản Minh Phú (i),Các công ty con sở trực tiếp > Cộng ty TNHH Sản xuất giống thủy sản Minh Phú (i),Cộng ty TNHH Sản xuất giống thủy sản Minh Phú (i),"Sản xuất, cung cấp và kinh doanh giống thủy sản; chế biến, bảo quản các sản phẩm thủy sản; kinh doanh thực phẩm và nguyên vật liệu phục vụ ngành chấn nuôi gia súc, gia cầm và nuôi trồng thủy sản.","99,78%","99,67%","99,78%","99,67%",,0.9978,0.9967,0.9978,0.9967
