row_label_raw,row_label_full,col_0,Số ngày quá hạn,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị có thể thu hồi VND,31/12/2021 > Dự phòng VND,Số ngày quá hạn_1,1/1/2021 > Giá gốc VND,1/1/2021 > Giá trị có thể thu hồi VND,1/1/2021 > Dự phòng VND,numeric__Số ngày quá hạn,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị có thể thu hồi VND,numeric__31/12/2021 > Dự phòng VND,numeric__Số ngày quá hạn_1,numeric__1/1/2021 > Giá gốc VND,numeric__1/1/2021 > Giá trị có thể thu hồi VND,numeric__1/1/2021 > Dự phòng VND
Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,Nợ quá hạn,,,,,,,,
H.T. Foods Pvt Ltd.,Nợ quá hạn > H.T. Foods Pvt Ltd.,H.T. Foods Pvt Ltd.,Dưới 1 năm,23.714.046.133,16.599.832.293,7.114.213.840,-,-,-,-,,23714046133.0,16599832293.0,7114213840.0,,,,
Scoha Corporation,Nợ quá hạn > Scoha Corporation,Scoha Corporation,1 – 2 năm,3.736.137.910,1.868.068.955,1.868.068.955,-,-,-,-,,3736137910.0,1868068955.0,1868068955.0,,,,
Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,Nợ quá hạn > Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,1 – 2 năm,8.650.290.000,4.325.145.000,4.325.145.000,-,-,-,-,,8650290000.0,4325145000.0,4325145000.0,,,,
Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,Nợ quá hạn > Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,Công ty TNHH Phát triển Kỹ thuật Công nghệ Xây dựng Sài Gòn Công ty TNHH Chế biến và Xuất nhập khẩu Thủy hải sản Việt Hải Công ty Cổ phần Nuôi trồng và Chế biến Thủy sản Mỏ Ố,8 – 9 năm,982.302.147,-,982.302.147,7 – 8 năm,982.302.147,-,982.302.147,,982302147.0,,982302147.0,,982302147.0,,982302147.0
Sóc Trăng,Nợ quá hạn > Sóc Trăng,Sóc Trăng,8 – 9 năm,771.913.390,-,771.913.390,7 – 8 năm,771.913.390,-,771.913.390,,771913390.0,,771913390.0,,771913390.0,,771913390.0
HML Foods Trading(s) Pte. Ltd.,Nợ quá hạn > HML Foods Trading(s) Pte. Ltd.,HML Foods Trading(s) Pte. Ltd.,Dưới 1 năm,338.830.636,-,338.830.636,-,-,-,-,,338830636.0,,338830636.0,,,,
Công ty TNHH Thanh Bình,Nợ quá hạn > Công ty TNHH Thanh Bình,Công ty TNHH Thanh Bình,8 – 9 năm,209.324.000,-,209.324.000,7 – 8 năm,209.324.000,-,209.324.000,,209324000.0,,209324000.0,,209324000.0,,209324000.0
Các khách hàng khác,Nợ quá hạn > Các khách hàng khác,Các khách hàng khác,Dưới 2 năm,109.465.000,-,109.465.000,Dưới 1 năm,113.921.000,-,113.921.000,,109465000.0,,109465000.0,,113921000.0,,113921000.0
,,,,38.512.309.216,22.793.046.248,15.719.262.968,,2.077.460.537,-,2.077.460.537,,38512309216.0,22793046248.0,15719262968.0,,2077460537.0,,2077460537.0
Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Nợ quá hạn > Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,Trong đó:Dự phòng phải thu khó đòi – ngắn hạn,15.719.262.968,,,,2.077.460.537,,,,15719262968.0,,,,2077460537.0
