row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy-móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy-móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,947.603.446.837,1.459.875.893.801,199.341.207.403,23.132.383.476,2.629.952.931.517,947603446837.0,1459875893801.0,199341207403.0,23132383476.0,2629952931517.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,36.402.796.265,63.876.522.962,22.434.443.776,4.298.713.000,127.012.476.003,36402796265.0,63876522962.0,22434443776.0,4298713000.0,127012476003.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,242.313.145.264,12.132.424.033,22.821.218.897,-,277.266.788.194,242313145264.0,12132424033.0,22821218897.0,,277266788194.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(58.186.600),(9.182.566.663),(6.230.971.652),-,(15.471.724.915),-58186600.0,-9182566663.0,-6230971652.0,,-15471724915.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.937.365.169),-,(200.643.564),-,(2.138.008.733),-1937365169.0,,-200643564.0,,-2138008733.0
Chênh lệch qui đổi tiền tệ,Nguyên giá > Chênh lệch qui đổi tiền tệ,Chênh lệch qui đổi tiền tệ,(188.962.503),-,-,(9.770.240),(198.732.743),-188962503.0,,,-9770240.0,-198732743.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.224.134.874.094,1.526.702.274.133,238.165.254.860,27.421.326.236,3.016.423.729.323,1224134874094.0,1526702274133.0,238165254860.0,27421326236.0,3016423729323.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,416.252.773.653,1.099.696.792.920,141.056.101.567,19.876.423.446,1.676.882.091.586,416252773653.0,1099696792920.0,141056101567.0,19876423446.0,1676882091586.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,77.694.370.517,90.936.305.779,15.455.144.827,1.525.079.197,185.610.900.320,77694370517.0,90936305779.0,15455144827.0,1525079197.0,185610900320.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(35.119.042),(9.147.556.010),(5.557.675.559),-,(14.740.350.611),-35119042.0,-9147556010.0,-5557675559.0,,-14740350611.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.937.365.169),-,(200.643.564),-,(2.138.008.733),-1937365169.0,,-200643564.0,,-2138008733.0
Chênh lệch qui đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch qui đổi tiền tệ,Chênh lệch qui đổi tiền tệ,(67.848.360),-,-,(9.770.240),(77.618.600),-67848360.0,,,-9770240.0,-77618600.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,491.906.811.599,1.181.485.542.689,150.752.927.271,21.391.732.403,1.845.537.013.962,491906811599.0,1181485542689.0,150752927271.0,21391732403.0,1845537013962.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,531.350.673.184,360.179.100.881,58.285.105.836,3.255.960.030,953.070.839.931,531350673184.0,360179100881.0,58285105836.0,3255960030.0,953070839931.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,732.228.062.495,345.216.731.444,87.412.327.589,6.029.593.833,1.170.886.715.361,732228062495.0,345216731444.0,87412327589.0,6029593833.0,1170886715361.0
