row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cho năm kết thúc ngày31 tháng 12 năm 2020,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồng sản phẩm thủy sản VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biến sản phẩm thủy sản VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanh sản phẩm thủy sản VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phận kinh doanh khác VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừ VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhất VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Nuôi trồng sản phẩm thủy sản VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Chế biến sản phẩm thủy sản VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Kinh doanh sản phẩm thủy sản VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Bộ phận kinh doanh khác VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Loại trừ VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hợp nhất VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,265.000.000,6.405.177.507.994,7.902.450.505.145,21.456.666.491,,14.329.349.679.630,265000000.0,6405177507994.0,7902450505145.0,21456666491.0,,14329349679630.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,2.039.474.704.935,7.181.118.943.455,1.538.606.964.499,269.911.734.609,(11.029.112.347.498),,2039474704935.0,7181118943455.0,1538606964499.0,269911734609.0,-11029112347498.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.039.739.704.935,13.586.296.451.449,9.441.057.469.644,291.368.401.100,(11.029.112.347.498),14.329.349.679.630,2039739704935.0,13586296451449.0,9441057469644.0,291368401100.0,-11029112347498.0,14329349679630.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,(70.423.653.987),973.815.480.911,(287.073.967.701),28.390.550.109,7.608.556.240,652.316.965.572,-70423653987.0,973815480911.0,-287073967701.0,28390550109.0,7608556240.0,652316965572.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,199.135.340.470,,,,,,199135340470.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(121.703.039.171),,,,,,-121703039171.0
Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,,36.548.340.896,,,,,,36548340896.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,766.297.607.767,,,,,,766297607767.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,6.786.052.736,,,,,,6786052736.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(10.660.207.796),,,,,,-10660207796.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,(88.636.345.392),,,,,,-88636345392.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,,673.787.107.315,,,,,,673787107315.0
