row_label_raw,row_label_full,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2021,Tổng tài sản VND,Tổng nợ phải trả VND,Tổng vốn chủ sở hữu VND,Lợi nhuận thuần sau thuế VND,numeric__Tổng tài sản VND,numeric__Tổng nợ phải trả VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Lợi nhuận thuần sau thuế VND
AquamekongMekong Logistics,AquamekongMekong Logistics,AquamekongMekong Logistics,20.756.289.948442.828.639.661,5.362.601.84810.241.984.547,15.393.688.100432.586.655.114,748.431.92063.210.723.252,2.075628994844283e+22,5.36260184810242e+20,1.5393688100432586e+22,7.484319206321072e+19
Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2020,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2020,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2020,Tổng tài sản VND,Tổng nợ phải trả VND,Tổng vốn chủ sở hữu VND,Lợi nhuận thuần sau thuế VND,,,,
AquamekongMekong Logistics,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2020 > AquamekongMekong Logistics,AquamekongMekong Logistics,20.985.572.702469.622.701.621,6.340.316.52296.595.404.924,14.645.256.180373.027.296.697,1.961.450.03773.027.296.697,2.098557270246962e+22,6.340316522965953e+20,1.4645256180373027e+22,1.961450037730273e+20
