row_label_raw,row_label_full,col_0,Quyền sử dụngđất không xácđịnh thời hạnVND,Quyền sử dụngđất có xác địnhthời hạnVND,Phần mềmmáy tínhVND,TổngVND,numeric__Quyền sử dụngđất không xácđịnh thời hạnVND,numeric__Quyền sử dụngđất có xác địnhthời hạnVND,numeric__Phần mềmmáy tínhVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.177.086.700,112.072.759.525,31.276.276.330,162.526.122.555,19177086700.0,112072759525.0,31276276330.0,162526122555.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,"817,120,560","817,120,560",,,,
Chuyển từ chi phíxây dựng cơ bản dở dang,Tăng trong năm > Chuyển từ chi phíxây dựng cơ bản dở dang,Chuyển từ chi phíxây dựng cơ bản dở dang,-,19.870.633.779,-,19.870.633.779,,19870633779.0,,19870633779.0
Chênh lệch qui đổi tiền tệ,Tăng trong năm > Chênh lệch qui đổi tiền tệ,Chênh lệch qui đổi tiền tệ,(222.617.380),-,(26.346.560),(248.963.940),-222617380.0,,-26346560.0,-248963940.0
Số dư cuối năm,Tăng trong năm > Số dư cuối năm,Số dư cuối năm,18.954.469.320,131.943.393.304,32.067.050.330,182.964.912.954,18954469320.0,131943393304.0,32067050330.0,182964912954.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,11.821.719.771,14.012.583.920,25.834.303.691,,11821719771.0,14012583920.0,25834303691.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,1.504.310.260,2.317.299.434,3.821.609.694,,1504310260.0,2317299434.0,3821609694.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,13.326.030.031,16.329.883.354,29.655.913.385,,13326030031.0,16329883354.0,29655913385.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,19.177.086.700,100.251.039.754,17.263.692.410,136.691.818.864,19177086700.0,100251039754.0,17263692410.0,136691818864.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.954.469.320,118.617.363.273,15.737.166.976,153.308.999.569,18954469320.0,118617363273.0,15737166976.0,153308999569.0
