row_label_raw,row_label_full,IIội đồng Quản trị,Bà Chu Thị BìnhÔng Lê Văn QuangÔng Lê Văn ĐiệpÔng Phan Thanh LộcBà Hồ Thu LêÔng Bùi Anh DùngÔng Tsukahara Keiichi,Chủ tịchThành viênThành viênThành viênThành viên,numeric__Bà Chu Thị BìnhÔng Lê Văn QuangÔng Lê Văn ĐiệpÔng Phan Thanh LộcBà Hồ Thu LêÔng Bùi Anh DùngÔng Tsukahara Keiichi,numeric__Chủ tịchThành viênThành viênThành viênThành viên
IIội đồng Quản trị,IIội đồng Quản trị,IIội đồng Quản trị,Bà Chu Thị BìnhÔng Lê Văn QuangÔng Lê Văn ĐiệpÔng Phan Thanh LộcBà Hồ Thu LêÔng Bùi Anh DùngÔng Tsukahara Keiichi,(tü ngày 17 tháng 6 năm 2021),,
IIội đồng Quản trị,IIội đồng Quản trị,IIội đồng Quản trị,Ông Osada TsutomuÔng Nguyễn Nhân NghĩaÔng Nagoya Yutaka,Thành viên(đến ngày 17 tháng 6 năm 2021)Thành viênThành viên,,
