row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Gia vị VND,Thực phẩm tiện lợi VND,Đồ uống VND,Hợp nhất VND,numeric__Gia vị VND,numeric__Thực phẩm tiện lợi VND,numeric__Đồ uống VND,numeric__Hợp nhất VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,2.121.779.688.936,1.312.938.157.237,2.657.484.292.677,6.092.202.138.850,2121779688936.0,1312938157237.0,2657484292677.0,6092202138850.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,11.552.854.420.923,,,,11552854420923.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,17.645.056.559.773,,,,17645056559773.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,162.634.420.955,242.830.882.104,1.247.805.815.031,1.653.271.118.090,162634420955.0,242830882104.0,1247805815031.0,1653271118090.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,4.659.957.981.943,,,,4659957981943.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,6.313.229.100.033,,,,6313229100033.0
Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,Cho năm kết thúc ngày 31 tháng 12 năm 2017,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn,Chi tiêu vốn,321.286.774.303,65.252.920.842,50.009.342.633,436.549.037.778,321286774303.0,65252920842.0,50009342633.0,436549037778.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,60.801.639.940,,,,60801639940.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,217.942.856.506,92.844.229.662,138.257.042.534,449.044.128.702,217942856506.0,92844229662.0,138257042534.0,449044128702.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,14.145.343.771,,,,14145343771.0
"Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",4.920.054.479,15.985.005.807,177.701.447.217,198.606.507.503,4920054479.0,15985005807.0,177701447217.0,198606507503.0
Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2017 > Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,53.347.290.176,,,,53347290176.0
