row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Quyền khai thác VND,Thương hiệu VND,Quan hệ khách hàng VND,Tài nguyên nước khoáng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Quyền khai thác VND,numeric__Thương hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Tài nguyên nước khoáng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,290.444.510.787,117.800.213.296,758.354.816.571,404.114.911.701,412.697.763.511,2.102.498.034.268,119085818402.0,290444510787.0,117800213296.0,758354816571.0,404114911701.0,412697763511.0,2102498034268.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.069.892.667,-,-,-,-,1.069.892.667,,1069892667.0,,,,,1069892667.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,395.592.000,145.364.052,-,-,-,540.956.052,,395592000.0,145364052.0,,,,540956052.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(807.270.780),-,-,-,-,(807.270.780),,-807270780.0,,,,,-807270780.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,291.102.724.674,117.945.577.348,758.354.816.571,404.114.911.701,412.697.763.511,2.103.301.612.207,119085818402.0,291102724674.0,117945577348.0,758354816571.0,404114911701.0,412697763511.0,2103301612207.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,26.068.492.542,63.380.703.674,7.817.687.894,318.335.873.925,344.785.103.101,29.528.450.556,789.916.311.692,26068492542.0,63380703674.0,7817687894.0,318335873925.0,344785103101.0,29528450556.0,789916311692.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.794.039.303,35.413.614.661,6.081.016.584,66.892.868.504,8.138.841.240,21.934.668.276,142.255.048.568,3794039303.0,35413614661.0,6081016584.0,66892868504.0,8138841240.0,21934668276.0,142255048568.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(765.777.015),-,-,-,-,(765.777.015),,-765777015.0,,,,,-765777015.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,29.862.531.845,98.028.541.320,13.898.704.478,385.228.742.429,352.923.944.341,51.463.118.832,931.405.583.245,29862531845.0,98028541320.0,13898704478.0,385228742429.0,352923944341.0,51463118832.0,931405583245.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,93.017.325.860,227.063.807.113,109.982.525.402,440.018.942.646,59.329.808.600,383.169.312.955,1.312.581.722.576,93017325860.0,227063807113.0,109982525402.0,440018942646.0,59329808600.0,383169312955.0,1312581722576.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,89.223.286.557,193.074.183.354,104.046.872.870,373.126.074.142,51.190.967.360,361.234.644.679,1.171.896.028.962,89223286557.0,193074183354.0,104046872870.0,373126074142.0,51190967360.0,361234644679.0,1171896028962.0
