row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.324.954.035.367,62.791.110.984,63.408.917.510,3.211.564.534.175,32.162.488.959,4.694.881.086.995,1324954035367.0,62791110984.0,63408917510.0,3211564534175.0,32162488959.0,4694881086995.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,139.774.241,-,147.915.454,2.427.925.149,75.821.200,2.791.436.044,139774241.0,,147915454.0,2427925149.0,75821200.0,2791436044.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,119.933.500.606,-,5.192.954.052,447.813.453.040,203.957.522,573.143.865.220,119933500606.0,,5192954052.0,447813453040.0,203957522.0,573143865220.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.105.775.277),-,(335.304.545),(25.890.516.029),(4.636.998.416),(34.968.594.267),-4105775277.0,,-335304545.0,-25890516029.0,-4636998416.0,-34968594267.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(2.357.977.674),-,(2.635.915.146),(534.165.615),-,(5.528.058.435),-2357977674.0,,-2635915146.0,-534165615.0,,-5528058435.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(1.876.249.030),-,-,1.876.249.030,-,-,-1876249030.0,,,1876249030.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.436.687.308.233,62.791.110.984,65.778.567.325,3.637.257.479.750,27.805.269.265,5.230.319.735.557,1436687308233.0,62791110984.0,65778567325.0,3637257479750.0,27805269265.0,5230319735557.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,234.785.355.878,19.484.246.535,32.794.245.843,1.258.023.912.009,17.682.965.730,1.562.770.725.995,234785355878.0,19484246535.0,32794245843.0,1258023912009.0,17682965730.0,1562770725995.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,77.170.019.006,10.451.709.071,7.630.751.809,364.024.457.452,3.912.535.135,463.189.472.473,77170019006.0,10451709071.0,7630751809.0,364024457452.0,3912535135.0,463189472473.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(2.923.311.559),-,(335.304.545),(23.703.850.321),(4.231.085.579),(31.193.552.004),-2923311559.0,,-335304545.0,-23703850321.0,-4231085579.0,-31193552004.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(2.357.977.674),-,(2.617.170.086),(508.978.115),-,(5.484.125.875),-2357977674.0,,-2617170086.0,-508978115.0,,-5484125875.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(46.906.227),-,-,46.906.227,-,-,-46906227.0,,,46906227.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,306.627.179.424,29.935.955.606,37.472.523.021,1.597.882.447.252,17.364.415.286,1.989.282.520.589,306627179424.0,29935955606.0,37472523021.0,1597882447252.0,17364415286.0,1989282520589.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.090.168.679.489,43.306.864.449,30.614.671.667,1.953.540.622.166,14.479.523.229,3.132.110.361.000,1090168679489.0,43306864449.0,30614671667.0,1953540622166.0,14479523229.0,3132110361000.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.130.060.128.809,32.855.155.378,28.306.044.304,2.039.375.032.498,10.440.853.979,3.241.037.214.968,1130060128809.0,32855155378.0,28306044304.0,2039375032498.0,10440853979.0,3241037214968.0
