row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Gia vị VND,Thực phẩm tiện lợi (*) VND,Đồ uống (*) VND,Khác VND,Hợp nhất VND,numeric__Gia vị VND,numeric__Thực phẩm tiện lợi (*) VND,numeric__Đồ uống (*) VND,numeric__Khác VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,5.929.762.801.607,3.684.213.605.945,4.159.968.086.897,15.814.948.028,13.789.759.442.477,5929762801607.0,3684213605945.0,4159968086897.0,15814948028.0,13789759442477.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,3.227.439.094.975,1.396.930.220.837,1.620.108.969.229,5.340.202.521,6.249.818.487.562,3227439094975.0,1396930220837.0,1620108969229.0,5340202521.0,6249818487562.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,2.303.210.024.677,585.704.199.827,340.759.488.342,5.340.202.521,3.235.013.915.367,2303210024677.0,585704199827.0,340759488342.0,5340202521.0,3235013915367.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,,(438.581.562.242),,,,,-438581562242.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,486.486.717.049,,,,,486486717049.0
,,,,,,,(120.181.485.914),,,,,-120181485914.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,3.162.737.584.260,,,,,3162737584260.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,3.946.391.087,,,,,3946391087.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,(3.831.459.210),,,,,-3831459210.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(371.740.268.742),,,,,-371740268742.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,2.791.112.247.395,,,,,2791112247395.0
