row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2017,Gia vị VND,Thực phẩm tiện lợi VND,Đồ uống VND,Hợp nhất VND,numeric__Gia vị VND,numeric__Thực phẩm tiện lợi VND,numeric__Đồ uống VND,numeric__Hợp nhất VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.875.082.609.128,1.356.020.120.800,2.783.135.920.430,6.014.238.650.358,1875082609128.0,1356020120800.0,2783135920430.0,6014238650358.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,11.363.587.596.042,,,,11363587596042.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,17.377.826.246.400,,,,17377826246400.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,181.934.564.179,170.732.625.606,702.777.024.481,1.055.444.214.266,181934564179.0,170732625606.0,702777024481.0,1055444214266.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,4.393.943.684.073,,,,4393943684073.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,5.449.387.898.339,,,,5449387898339.0
Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,Cho năm kết thúc ngày 31 tháng 12 năm 2016,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chi tiêu vốn,Chi tiêu vốn,318.695.966.674,53.310.673.834,128.398.417.563,500.405.058.071,318695966674.0,53310673834.0,128398417563.0,500405058071.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,220.675.756.456,,,,220675756456.0
Khẩu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,178.152.639.224,108.019.559.648,123.621.072.455,409.793.271.327,178152639224.0,108019559648.0,123621072455.0,409793271327.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,14.039.906.819,,,,14039906819.0
"Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",5.510.165.970,21.399.760.419,226.167.066.610,253.076.992.999,5510165970.0,21399760419.0,226167066610.0,253076992999.0
Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2016 > Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,48.754.062.252,,,,48754062252.0
