row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,49.726.600.000,30.000.000.000,numeric__31,numeric__49.726.600.000,numeric__30.000.000.000
Tiền thu từ vốn góp vào một công ty con bồi cổ đông không kiểm soát,Tiền thu từ vốn góp vào một công ty con bồi cổ đông không kiểm soát,Tiền thu từ vốn góp vào một công ty con bồi cổ đông không kiểm soát,31,-,134.010,31.0,,134010.0
Tiền chỉ mua lại cổ phiếu tại một công ty con,Tiền chỉ mua lại cổ phiếu tại một công ty con,Tiền chỉ mua lại cổ phiếu tại một công ty con,32,(247.200.000),-,32.0,-247200000.0,
Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,Tiền thu từ các khoản vay ngân hàng,33,7.798.314.906.822,8.481.450.471.251,33.0,7798314906822.0,8481450471251.0
Tiền trả nợ gốc vay cho ngân hàng,Tiền trả nợ gốc vay cho ngân hàng,Tiền trả nợ gốc vay cho ngân hàng,34,(7.412.453.959.741),(7.682.156.882.445),34.0,-7412453959741.0,-7682156882445.0
Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,Tiền chỉ trả cổ tức,36,(1.157.089.232.500),(1.005.198.769.200),36.0,-1157089232500.0,-1005198769200.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,(721.748.885.419),(175.905.046.384),40.0,-721748885419.0,-175905046384.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,(2.682.790.774.301),3.549.849.197.176,50.0,-2682790774301.0,3549849197176.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,6.914.244.921.330,3.366.663.621.920,60.0,6914244921330.0,3366663621920.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,4.369.156.614,(14.167.886),61.0,4369156614.0,-14167886.0
Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,Chênh lệch quy đổi tỷ giá hối đoái,61,89.770.606,(2.253.729.880),61.0,89770606.0,-2253729880.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 6),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 6),70,4.235.913.074.249,6.914.244.921.330,70.0,4235913074249.0,6914244921330.0
