row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát (“NCI”) VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát (“NCI”) VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,5.351.601.170.000,5.088.056.394.992,(265.775.657.006),(1.640.252.631.255),-,22.731.972.844,2.984.708.427.270,1.274.377.326.585,12.815.447.003.430,5351601170000.0,5088056394992.0,-265775657006.0,-1640252631255.0,,22731972844.0,2984708427270.0,1274377326585.0,12815447003430.0
Phát hành cổ phiếu (Thuyết minh 25),Phát hành cổ phiếu (Thuyết minh 25),Phát hành cổ phiếu (Thuyết minh 25),30.000.000.000,-,-,-,-,-,-,-,30.000.000.000,30000000000.0,,,,,,,,30000000000.0
Lợi nhuận thuần trong năm Cổ tức (Thuyết minh 26),Lợi nhuận thuần trong năm Cổ tức (Thuyết minh 26),Lợi nhuận thuần trong năm Cổ tức (Thuyết minh 26),-,-,-,-,-,-,2.679.382.871.020,111.729.376.375,2.791.112.247.395,,,,,,,2679382871020.0,111729376375.0,2791112247395.0
Thanh toán thù lao cho Hội đồng Quản trị của công ty con Mua thêm từ NCI,Thanh toán thù lao cho Hội đồng Quản trị của công ty con Mua thêm từ NCI,Thanh toán thù lao cho Hội đồng Quản trị của công ty con Mua thêm từ NCI,-,-,-,-,-,-,(2.896.096.655.200),-,(2.896.096.655.200),,,,,,,-2896096655200.0,,-2896096655200.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,-,-,(967.126.924),(616.625.077),(1.583.752.001),,,,,,,-967126924.0,-616625077.0,-1583752001.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,-,-,(332.377.308.207),(477.190.588.281),(809.567.896.488),,,,,,,-332377308207.0,-477190588281.0,-809567896488.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,-,-,104.420,205.380,309.800,,,,,,,104420.0,205380.0,309800.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,-,-,-,1.380.686.995,1.380.686.995,,,,,,,,1380686995.0,1380686995.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,-,-,-,134.010,134.010,,,,,,,,134010.0,134010.0
Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,Bán cho NCI mà không thay đổi quyền kiểm soát Mua công ty con có lợi ích cổ đông không kiểm soát Gộp vốn vào một công ty con của NCI,-,-,-,-,(2.253.725.216),-,-,(4.664),(2.253.729.880),,,,,-2253725216.0,,,-4664.0,-2253729880.0
