row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạn,Phần mềm máy tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Số đầu năm,Số đầu năm,92.034.163.275(4.058.160.218),23.751.480.972-,18.325.256.880-,134.110.901.127(4.058.160.218),,,,
Giảm khác,Giảm khác,Giảm khác,92.034.163.275(4.058.160.218),23.751.480.972-,18.325.256.880-,134.110.901.127(4.058.160.218),,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,87.976.003.057,23.751.480.972,18.325.256.880,130.052.740.909,87976003057.0,23751480972.0,18325256880.0,130052740909.0
Trong đó:Dã hao mòn hết,Giảm khác > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,1.437.526.835,157.259.011,1.594.785.846,,1437526835.0,157259011.0,1594785846.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(13.551.889.313),(14.262.231.990),(15.213.945.866),(43.028.067.169),-13551889313.0,-14262231990.0,-15213945866.0,-43028067169.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(2.665.939.487),(2.349.933.989),(945.626.024),(5.961.499.500),-2665939487.0,-2349933989.0,-945626024.0,-5961499500.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(16.217.828.800),(16.612.165.979),(16.159.571.890),(48.989.566.669),-16217828800.0,-16612165979.0,-16159571890.0,-48989566669.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,78.482.273.962,9.489.248.982,3.111.311.014,91.082.833.958,78482273962.0,9489248982.0,3111311014.0,91082833958.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,71.758.174.257,7.139.314.993,2.165.684.990,81.063.174.240,71758174257.0,7139314993.0,2165684990.0,81063174240.0
