row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (phân loại lại - TM số 35),numeric__Số cuối năm,numeric__VND Số đầu năm (phân loại lại - TM số 35)
Ngắn hạn,Ngắn hạn,Ngắn hạn,232.783.421.832,235.681.592.558,232783421832.0,235681592558.0
Công ty TNHH MTV TTF Cao Nguyên (i),Công ty TNHH MTV TTF Cao Nguyên (i),Công ty TNHH MTV TTF Cao Nguyên (i),54.000.000.000,-,54000000000.0,
Tạm ứng để đầu tư (ii),Tạm ứng để đầu tư (ii),Tạm ứng để đầu tư (ii),34.909.246.000,32.768.446.000,34909246000.0,32768446000.0
Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,Công ty Cổ phần Chế biến,,,,
Gỗ Trường Thành (iii),Công ty Cổ phần Chế biến > Gỗ Trường Thành (iii),Gỗ Trường Thành (iii),36.622.354.034,31.584.199.500,36622354034.0,31584199500.0
Công ty Cổ phần Trường Thành (iii),Công ty Cổ phần Chế biến > Công ty Cổ phần Trường Thành (iii),Công ty Cổ phần Trường Thành (iii),11.187.692.580,73.244.982.481,11187692580.0,73244982481.0
Ứng trước cho bên liên quan (TM số 32),Công ty Cổ phần Chế biến > Ứng trước cho bên liên quan (TM số 32),Ứng trước cho bên liên quan (TM số 32),10.000.000.000,23.820.000,10000000000.0,23820000.0
Các nhà cung cấp khác,Công ty Cổ phần Chế biến > Các nhà cung cấp khác,Các nhà cung cấp khác,86.064.129.218,98.060.144.577,86064129218.0,98060144577.0
Dài hạn,Công ty Cổ phần Chế biến > Dài hạn,Dài hạn,143.878.593.740,166.224.747.101,143878593740.0,166224747101.0
Công ty Cổ phần Trường Thành (iii),Công ty Cổ phần Chế biến > Công ty Cổ phần Trường Thành (iii),Công ty Cổ phần Trường Thành (iii),126.310.416.365,133.253.126.464,126310416365.0,133253126464.0
Công ty Cổ phần Chế biến Gỗ Trường Thành (iii),Công ty Cổ phần Chế biến > Công ty Cổ phần Chế biến Gỗ Trường Thành (iii),Công ty Cổ phần Chế biến Gỗ Trường Thành (iii),17.568.177.375,32.971.620.637,17568177375.0,32971620637.0
TỔNG CỘNG,Công ty Cổ phần Chế biến > TỔNG CỘNG,TỔNG CỘNG,376.662.015.572,401.906.339.659,376662015572.0,401906339659.0
Dự phòng các khoản trả trước cho người bán khó đòi,Công ty Cổ phần Chế biến > Dự phòng các khoản trả trước cho người bán khó đòi,Dự phòng các khoản trả trước cho người bán khó đòi,(107.045.187.232),(106.111.868.778),-107045187232.0,-106111868778.0
GIÁ TRỊ THUÀN,Công ty Cổ phần Chế biến > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,269.616.828.340,295.794.470.881,269616828340.0,295794470881.0
