row_label_raw,row_label_full,col_0,Số đầu năm,Vay trong năm,Trả gốc vaytrong năm,Phân loại lại,Chênh lệch tỷ giá,Số cuối năm,numeric__Số đầu năm,numeric__Vay trong năm,numeric__Trả gốc vaytrong năm,numeric__Phân loại lại,numeric__Chênh lệch tỷ giá,numeric__Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,467.049.845.816,715.381.362.258,(588.700.565.157),5.865.012.218,1.156.400.000,600.752.055.135,467049845816.0,715381362258.0,-588700565157.0,5865012218.0,1156400000.0,600752055135.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,22.794.920.353,7.601.170.538,(582.923.441),(5.865.012.218),-,23.948.155.232,22794920353.0,7601170538.0,-582923441.0,-5865012218.0,,23948155232.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,489.844.766.169,722.982.532.796,(589.283.488.598),-,1.156.400.000,624.700.210.367,489844766169.0,722982532796.0,-589283488598.0,,1156400000.0,624700210367.0
