row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,492.154.825.522,412.048.083.939,31.616.507.255,19.160.145.528,954.979.562.244,492154825522.0,412048083939.0,31616507255.0,19160145528.0,954979562244.0
Đầu tư xây dựng cơ bảnhoản thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,9.416.451.591,8.131.129.375,-,-,17.547.580.966,9416451591.0,8131129375.0,,,17547580966.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,8.149.900.000,-,949.600.000,9.099.500.000,,8149900000.0,,949600000.0,9099500000.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,(2.378.386.037),-,-,(2.378.386.037),,-2378386037.0,,,-2378386037.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,501.571.277.113,425.950.727.277,31.616.507.255,20.109.745.528,979.248.257.173,501571277113.0,425950727277.0,31616507255.0,20109745528.0,979248257173.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,40.626.989.955,153.419.926.515,11.721.792.225,4.225.178.438,209.993.887.133,40626989955.0,153419926515.0,11721792225.0,4225178438.0,209993887133.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(249.893.876.146),(254.606.877.771),(16.307.743.304),(10.176.566.432),(530.985.063.653),-249893876146.0,-254606877771.0,-16307743304.0,-10176566432.0,-530985063653.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(14.248.382.871),(24.708.840.487),(1.690.740.229),(1.819.976.797),(42.467.940.384),-14248382871.0,-24708840487.0,-1690740229.0,-1819976797.0,-42467940384.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,-,2.378.386.037,-,-,2.378.386.037,,2378386037.0,,,2378386037.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(264.142.259.017),(276.937.332.221),(17.998.483.533),(11.996.543.229),(571.074.618.000),-264142259017.0,-276937332221.0,-17998483533.0,-11996543229.0,-571074618000.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,242.260.949.376,157.441.206.168,15.308.763.951,8.983.579.096,423.994.498.591,242260949376.0,157441206168.0,15308763951.0,8983579096.0,423994498591.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,237.429.018.096,149.013.395.056,13.618.023.722,8.113.202.299,408.173.639.173,237429018096.0,149013395056.0,13618023722.0,8113202299.0,408173639173.0
