row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm (phân loại lại - TM số 35),numeric__Số cuối năm,numeric__VND Số đầu năm (phân loại lại - TM số 35)
Ngắn hạn,Ngắn hạn,Ngắn hạn,159.175.671.215,134.497.611.831,159175671215.0,134497611831.0
Phải thu từ hợp đồng ủy thác đầu tư (*),Phải thu từ hợp đồng ủy thác đầu tư (*),Phải thu từ hợp đồng ủy thác đầu tư (*),61.000.000.000,61.600.000.000,61000000000.0,61600000000.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,20.360.931.738,21.332.089.823,20360931738.0,21332089823.0
Cho vay không lãi suất,Cho vay không lãi suất,Cho vay không lãi suất,20.723.381.173,10.872.779.322,20723381173.0,10872779322.0
Đặt cọc đi thuê,Đặt cọc đi thuê,Đặt cọc đi thuê,1.599.070.433,2.710.148.052,1599070433.0,2710148052.0
Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,Lãi cho vay và lãi tiền gửi,1.478.732.740,1.011.771.011,1478732740.0,1011771011.0
Phải thu từ các bên liên quan (TM số 32),Phải thu từ các bên liên quan (TM số 32),Phải thu từ các bên liên quan (TM số 32),7.142.353.700,7.202.922.784,7142353700.0,7202922784.0
Khác,Khác,Khác,46.871.201.431,29.767.900.839,46871201431.0,29767900839.0
Dài hạn,Dài hạn,Dài hạn,3.085.351.745,3.085.351.745,3085351745.0,3085351745.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,2.399.617.058,2.399.617.058,2399617058.0,2399617058.0
Khác,Khác,Khác,685.734.687,685.734.687,685734687.0,685734687.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,162.261.022.960,137.582.963.576,162261022960.0,137582963576.0
Dự phòng các khoản phải thu khác khó đòi,Dự phòng các khoản phải thu khác khó đòi,Dự phòng các khoản phải thu khác khó đòi,(34.492.973.053),(16.980.973.063),-34492973053.0,-16980973063.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,127.768.049.907,120.601.990.513,127768049907.0,120601990513.0
