row_label_raw,row_label_full,col_0,Số cuối năm(dã được trình bàytrước đây),Phân loại lại,VNDSố cuối năm(được phân loại lại),numeric__Số cuối năm(dã được trình bàytrước đây),numeric__Phân loại lại,numeric__VNDSố cuối năm(được phân loại lại)
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,239.622.392.558,(3.940.800.000),235.681.592.558,239622392558.0,-3940800000.0,235681592558.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,130.556.811.831,3.940.800.000,134.497.611.831,130556811831.0,3940800000.0,134497611831.0
