row_label_raw,row_label_full,col_0,TTO,"Bao bì(43,76%)","Tekcom(16,97%)","Natuzzi(20,00%)",VNDTổng cộng,numeric__TTO,"numeric__Bao bì(43,76%)","numeric__Tekcom(16,97%)","numeric__Natuzzi(20,00%)",numeric__VNDTổng cộng
Tỷ lệ sở hữu (%),Tỷ lệ sở hữu (%),Tỷ lệ sở hữu (%),,,,,,,,,,
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,94.930.473.000,2.000.000.000,166.600.013.370,122.728.870.000,386.259.356.370,94930473000.0,2000000000.0,166600013370.0,122728870000.0,386259356370.0
Giảm do chuyển nhượng,Giá trị đầu tư: > Giảm do chuyển nhượng,Giảm do chuyển nhượng,(94.930.473.000),-,-,-,(94.930.473.000),-94930473000.0,,,,-94930473000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,-,2.000.000.000,166.600.013.370,122.728.870.000,291.328.883.370,,2000000000.0,166600013370.0,122728870000.0,291328883370.0
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,(38.951.333.776),(2.000.000.000),7.016.582.694,9.213.820.422,(24.720.930.660),-38951333776.0,-2000000000.0,7016582694.0,9213820422.0,-24720930660.0
"Phần lãi (lỗ) từ công ty liên doanh,liên kết trong kỳ","Giá trị đầu tư: > Phần lãi (lỗ) từ công ty liên doanh,liên kết trong kỳ","Phần lãi (lỗ) từ công ty liên doanh,liên kết trong kỳ",350.136.058,-,4.069.719.601,(2.340.163.055),2.079.692.604,350136058.0,,4069719601.0,-2340163055.0,2079692604.0
Giảm do chuyển nhượng,Giá trị đầu tư: > Giảm do chuyển nhượng,Giảm do chuyển nhượng,38.601.197.718,-,-,-,38.601.197.718,38601197718.0,,,,38601197718.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,-,(2.000.000.000),11.086.302.295,6.873.657.367,15.959.959.662,,-2000000000.0,11086302295.0,6873657367.0,15959959662.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,55.979.139.224,-,173.616.596.064,131.942.690.422,361.538.425.710,55979139224.0,,173616596064.0,131942690422.0,361538425710.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,-,177.686.315.665,129.602.527.367,307.288.843.032,,,177686315665.0,129602527367.0,307288843032.0
