row_label_raw,row_label_full,col_0,Trong nước,Nước ngoài,VND Tổng cộng,numeric__Trong nước,numeric__Nước ngoài,numeric__VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,
Doanh thu từ bán hàngvà cung cấp dịch vụ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Doanh thu từ bán hàngvà cung cấp dịch vụ,Doanh thu từ bán hàngvà cung cấp dịch vụ,710.014.240.998,531.861.294.808,1.241.875.535.806,710014240998.0,531861294808.0,1241875535806.0
Giá vốn hàng bánvà dịch vụ cung cấp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Giá vốn hàng bánvà dịch vụ cung cấp,Giá vốn hàng bánvà dịch vụ cung cấp,(565.984.952.095),(463.726.060.611),(1.029.711.012.706),-565984952095.0,-463726060611.0,-1029711012706.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,
Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,Kết quả > Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,144.029.288.903,68.135.234.197,212.164.523.100(201.707.906.517),144029288903.0,68135234197.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,10.456.616.583(618.118.316),,,
Lợi nhuận thuần trước thuế,Chi phí không phân bổ > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,683.381.126,,,683381126.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,
Lợi nhuận thuần sau thuế,Chi phí thuế TNDN hoãn lại > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,10.521.879.393,,,10521879393.0
Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,Vào ngày 31 tháng 12 năm 2025,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,2.838.760.180.225,,,2838760180225.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,2.838.760.180.225,,,2838760180225.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,2.449.607.487.598,,,2449607487598.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,2.449.607.487.598,,,2449607487598.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,
Doanh thu từ bán hàngvà cung cấp dịch vụ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Doanh thu từ bán hàngvà cung cấp dịch vụ,Doanh thu từ bán hàngvà cung cấp dịch vụ,760.232.910.486,463.056.847.177,1.223.289.757.663,760232910486.0,463056847177.0,1223289757663.0
Giá vốn hàng bánvà dịch vụ cung cấp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 > Giá vốn hàng bánvà dịch vụ cung cấp,Giá vốn hàng bánvà dịch vụ cung cấp,(705.864.707.327),(391.030.426.951),(1.096.895.134.278),-705864707327.0,-391030426951.0,-1096895134278.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,
Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,Kết quả > Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,Lợi nhuận gộp từ hoạt độngkinh doanh của bộ phận,54.368.203.159,72.026.420.226,126.394.623.385(118.732.831.201),54368203159.0,72026420226.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,7.661.792.184(1.019.255.955),,,
