row_label_raw,row_label_full,Số đầu năm,Năm nay > (368.131.399.899),VNDNăm trước > (110.128.302.301),numeric__Năm nay > (368.131.399.899),numeric__VNDNăm trước > (110.128.302.301)
Tăng do thanh lý công ty con,Tăng do thanh lý công ty con,Tăng do thanh lý công ty con,-,(294.065.018.884),,-294065018884.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,(24.754.946.750),(18.343.417.181),-24754946750.0,-18343417181.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,1.000.104.928,54.405.338.467,1000104928.0,54405338467.0
Số cuối năm,Số cuối năm,Số cuối năm,(391.886.241.721),(368.131.399.899),-391886241721.0,-368131399899.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,(161.212.023.487),(137.457.181.665),-161212023487.0,-137457181665.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,(230.674.218.234),(230.674.218.234),-230674218234.0,-230674218234.0
