row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh chi phí thuế TNDN trích thiéutrong những năm trước,Năm nay > 453.968.797 > 164.149.519,VNDNăm trước > 1.019.255.955 > -,numeric__Năm nay > 453.968.797 > 164.149.519,numeric__VNDNăm trước > 1.019.255.955 > -
Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại,618.118.316(683.381.126),1.019.255.955(683.381.126),,
TỔNG CỘNG,Chi phí thuế TNDN hiện hànhThu nhập thuế TNDN hoãn lại > TỔNG CỘNG,TỔNG CỘNG,(65.262.810),335.874.829,-65262810.0,335874829.0
