row_label_raw,row_label_full,"Số đầu năm > Dự phòng trong năm > Hoàn nhập dự phòng, sử dụng trong năm",Năm nay > (23.285.189.811) > (38.567.566) > -,VNDNăm trước > (140.242.194.663) > (5.774.611.385) > 288.520.526,numeric__Năm nay > (23.285.189.811) > (38.567.566) > -,numeric__VNDNăm trước > (140.242.194.663) > (5.774.611.385) > 288.520.526
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,122.443.095.711,,122443095711.0
Số cuối năm,Số cuối năm,Số cuối năm,(23.323.757.377),(23.285.189.811),-23323757377.0,-23285189811.0
