row_label_raw,row_label_full,Tên lô đất/Địa điểm lô đất,Diện tích thuê (\( m^{2} \)),Thời gian thuê,Mục đích thuê,Ghi chú,numeric__Diện tích thuê (\( m^{2} \)),numeric__Thời gian thuê,numeric__Mục đích thuê,numeric__Ghi chú
Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,Khu đất tại số 18 Lý Văn Phúc - P.Cát Linh - Q.Đống Đa- Hà Nội,510,50 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,510.0,,,
Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,Khu đất tại xã Yên Thường- Huyện Gia Lâm - Hà Nội,9.629,Hàng năm,Trụ sở làm việc,Trà tiền thuê đất hàng năm,9629.0,,,
Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Phương Canh- Q. Nam Từ Liêm- Hà Nội,6.475,50 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,6475.0,,,
Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,Khu đất phường Đông Ngọc- Q.Bắc Từ Liêm- Hà Nội,2.903,25 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,2903.0,,,
Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,Khu đất phường Mỹ Đình 2- Q. Nam Từ Liêm- Hà Nội,3.334,50 năm,"Bãi đồ xe, công trình công cộng",Đơn giá ổn định 5 năm/l lần,3334.0,,,
Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,Khu đất phường Phú Lâm- Q. Hà Đông- Hà Nội,813,25 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,813.0,,,
Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,Khu đất tại xã Mai Sơn- Yên Mô- Ninh Bình,29.372,33 năm,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,29372.0,,,
Khu đất tại phường Tân Thanh- TP Ninh Bình,Khu đất tại phường Tân Thanh- TP Ninh Bình,Khu đất tại phường Tân Thanh- TP Ninh Bình,2.887,Hàng năm,Trụ sở làm việc,Trà tiền thuê đất hàng năm,2887.0,,,
Khu đất tại đường Nguyễn Tam Trình- Q. Hoàng Mai- Hà Nội,Khu đất tại đường Nguyễn Tam Trình- Q. Hoàng Mai- Hà Nội,Khu đất tại đường Nguyễn Tam Trình- Q. Hoàng Mai- Hà Nội,961,Hàng năm,Trụ sở làm việc,Trà tiền thuê đất hàng năm,961.0,,,
Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,Khu đất tại xã Đại Mỗ- Q. Nam Từ Liêm- Hà Nội,3.192,Lâu dài,Trụ sở làm việc,Đơn giá ổn định 5 năm/l lần,3192.0,,,
Khu đất phường Phú La- Q. Hà Đông- Hà Nội,Khu đất phường Phú La- Q. Hà Đông- Hà Nội,Khu đất phường Phú La- Q. Hà Đông- Hà Nội,1.085,Hàng năm,Trụ sở làm việc,Trà tiền thuê đất hàng năm,1085.0,,,
"Khu đất tại xóm Nà Pồng, xã Lý Bôn, H. Bảo Lâm, Cao Bằng","Khu đất tại xóm Nà Pồng, xã Lý Bôn, H. Bảo Lâm, Cao Bằng","Khu đất tại xóm Nà Pồng, xã Lý Bôn, H. Bảo Lâm, Cao Bằng",117.876,68 năm,Nhà máy thủy điện Bảo lâm 1,Tiền thuế đất được trừ vào chi phí đến bù giải phóng mặt bằng,117876.0,,,
